Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,33175,0,340,355.028595253232,3.6432410015549976,1201.6251850000117,9960.823511680483,109.94451558101626,0.0,340,390,430,450,510,570,640,700,870,1100,1200
GET,GET /?currency=X,26709,0,340,355.11938825830026,4.012267003417946,1203.6632300005294,9960.47433449399,88.51569153438925,0.0,340,400,430,450,520,570,640,700,880,1200,1200
GET,GET /?product_id=X,3342,0,350,357.1198389889367,4.5343439996941015,901.7867789989396,9961.142728904848,11.075646452803507,0.0,350,400,430,460,520,570,650,710,890,900,900
GET,GET /cart,13430,0,340,353.3043244535168,4.25564699980896,1369.0295820015308,12216.246537602383,44.50805860596981,0.0,340,390,420,450,510,560,640,690,880,1000,1400
GET,GET /product/[id],23632,0,340,350.15589016105133,4.009016000054544,1272.648244001175,7550.93538422478,78.31827557529996,0.0,340,390,420,440,510,560,630,690,880,1200,1300
POST,POST /cart (add),16619,0,730,739.4627610387565,7.322956997086294,1817.0232010015752,17323.852638546243,55.07665122655341,0.0,730,820,880,920,1000,1100,1200,1300,1500,1700,1800
POST,POST /cart (pre-checkout add),6810,0,730,739.9403926657775,7.640415999048855,1505.0081049994333,17306.442437591777,22.568866649788117,0.0,730,820,880,920,1000,1100,1200,1300,1400,1500,1500
POST,POST /cart/checkout,6802,0,400,407.3816580194261,6.111226000939496,868.7842370018188,6403.620405763011,22.54235403110995,0.0,400,460,490,520,580,630,690,730,850,870,870
POST,POST /cart/empty,6610,0,730,739.4190393915228,7.2617719997651875,1798.3554339989496,9917.104992435703,21.906051182833988,0.0,730,820,870,910,1000,1100,1200,1300,1500,1800,1800
POST,POST /setCurrency,9994,0,740,740.1004685759038,6.329564999759896,1794.8216930017225,9963.603462077246,33.12088888369786,0.0,740,830,880,910,1000,1100,1200,1300,1500,1800,1800
,Aggregated,147123,0,400,461.2431274175113,3.6432410015549976,1817.0232010015752,10785.060031402296,487.5769997234621,0.0,400,500,580,650,810,930,1100,1100,1300,1500,1800
