procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0      0 738492 124944 1961804   0    0     1   454 3643   32  5  4 91  0  0  0
 0  0      0 729940 124944 1961912   0    0     0     0 3867 7670 11 10 79  0  0  0
 3  0      0 728680 124944 1961916   0    0     0    28 3632 7187  8  7 85  0  0  0
 0  0      0 728680 124944 1961932   0    0     0     0 3077 6591  3  3 94  0  0  0
 0  0      0 728680 124952 1961936   0    0     0    76 3445 6949  7  4 89  1  0  0
 0  0      0 728680 124952 1962028   0    0     0    28 4287 9801 10  8 83  0  0  0
 0  0      0 727420 124952 1962032   0    0     0    52 3804 7459  8  6 85  0  0  0
 0  0      0 727196 124952 1962032   0    0     0     0 3434 6277  6  4 90  0  0  0
 0  0      0 727196 124960 1962024   0    0     0    48 3542 6466  9  5 86  0  0  0
 0  0      0 727196 124960 1962036   0    0     0    32 3574 6911  6  6 88  0  0  0
 0  0      0 726972 124960 1962036   0    0     0    28 4326 9019 13  7 80  0  0  0
 0  0      0 726972 124960 1962036   0    0     0     0 3276 5238  6  7 88  0  0  0
 3  0      0 726972 124972 1962044   0    0     0   292 4564 8973 15 11 73  1  0  0
 0  0      0 726972 124976 1962068   0    0     0   240 4674 9384 16 10 74  0  0  0
 0  0      0 726972 124976 1962068   0    0     0   148 4152 8700 14  7 79  0  0  0
 9  0      0 726972 124976 1962072   0    0     0     0 3664 7450  7  7 85  0  0  0
 0  0      0 726972 124976 1962072   0    0     0    36 4577 11021 19 12 70 0  0  0
 0  0      0 726972 124976 1962076   0    0     0    24 3479 6895  9  8 83  0  0  0
 0  0      0 726972 124976 1962076   0    0     0   116 3675 8307 10  9 80  0  0  0
 3  0      0 726972 124976 1962080   0    0     0    52 3192 6510  8  7 85  1  0  0
 8  0      0 726972 124992 1961964   0    0     0   576 4763 10785 18 15 67 0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 726972 125032 1961420   0    0     0  1200 4404 9440 12 16 71  1  0  0
 3  0      0 726972 125032 1961420   0    0     0     0 3685 7061  9  9 82  0  0  0
 0  0      0 726972 125032 1961424   0    0     0    72 3253 6118  6  7 88  0  0  0
 2  0      0 726972 125032 1961424   0    0     0    16 3604 7456  9  8 83  0  0  0
 7  0      0 726972 125036 1961428   0    0     0   292 3200 7597  6 10 85  0  0  0
 0  0      0 726972 125036 1961428   0    0     0    28 4038 9052 17 15 67  1  0  0
 2  0      0 726972 125056 1961448   0    0     0   300 4281 8305 15 13 72  0  0  0
 1  0      0 726972 125060 1961460   0    0     0   740 4124 8135 10  9 81  1  0  0
 2  0      0 726972 125072 1961468   0    0     0   156 3978 8080  8  8 84  1  0  0
 2  0      0 726972 125072 1961468   0    0     0     0 3758 7652 13 10 77  0  0  0
 2  0      0 726720 125072 1961468   0    0     0    28 3403 6444  6  8 86  0  0  0
 0  0      0 726720 125072 1961468   0    0     0     0 3469 8333  8 10 82  0  0  0
 1  0      0 726720 125072 1961468   0    0     0    24 3287 7241  9  8 83  0  0  0
 9  0      0 726720 125076 1961464   0    0     0    32 3476 7830 11 10 79  0  0  0
 0  0      0 726720 125076 1961472   0    0     0    52 3090 7258 10 11 80  0  0  0
 5  0      0 726720 125076 1961472   0    0     0    28 4449 10181 16 18 67 0  0  0
 0  0      0 726720 125076 1961476   0    0     0    32 3378 7554 10 10 80  0  0  0
 0  0      0 726720 125076 1961476   0    0     0     0 3198 6780  9 11 80  0  0  0
 1  0      0 726720 125076 1961480   0    0     0    80 3345 6505  7  6 86  0  0  0
 0  0      0 726720 125076 1961480   0    0     0     0 4012 9726 13 13 75  0  0  0
 0  0      0 726720 125076 1961496   0    0     0    28 3345 7606  8 11 82  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
10  0      0 726720 125088 1961504   0    0     0   212 3836 8296 22 21 56  1  0  0
 0  0      0 726720 125096 1961524   0    0     0   284 4423 9300 15 12 72  1  0  0
 3  0      0 726720 125100 1961528   0    0     0    72 3722 9612 11  9 79  0  0  0
 1  0      0 726720 125100 1961528   0    0     0    28 3277 7437  6 11 84  0  0  0
 0  0      0 726720 125104 1961532   0    0     0    56 4509 10499 15 14 71 0  0  0
 0  0      0 726720 125104 1961532   0    0     0    52 3576 6944  9  8 82  1  0  0
 0  0      0 726720 125104 1961532   0    0     0     0 3315 7495  8  9 83  0  0  0
 0  0      0 726720 125104 1961536   0    0     0    60 3565 6707  9  7 84  0  0  0
 0  0      0 726720 125104 1961536   0    0     0     0 4286 8736 11  9 81  0  0  0
 2  0      0 726720 125104 1961536   0    0     0    28 3505 6195  7  7 86  0  0  0
