Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,22571,0,4,4.845867126136688,1.925632001075428,90.46977300022263,9961.120021266226,75.47077122289963,0.0,4,5,5,6,7,9,16,23,49,71,90
GET,GET /?currency=X,18184,0,4,4.886280008853949,2.0088220007892232,69.63128499955928,9961.187967443906,60.80193628626143,0.0,4,5,5,6,7,9,15,23,46,67,70
GET,GET /?product_id=X,2350,0,4,4.926840250630816,2.205156000854913,59.68665299951681,9961.78595744681,7.857707340118476,0.0,4,5,5,6,7,9,16,26,44,60,60
GET,GET /cart,9169,0,4,4.969869895959578,2.008351000768016,73.07030499941902,12281.521867161086,30.658433447466514,0.0,4,5,5,6,7,9,17,25,46,73,73
GET,GET /product/[id],15983,0,4,4.898782695977443,2.111572999638156,83.8876359994174,7550.186948632922,53.44244102855898,0.0,4,5,5,6,7,9,15,24,44,71,84
POST,POST /cart (add),11273,0,7,8.452971983765945,3.606618000048911,96.73828199993295,17322.55397853278,37.69358929581089,0.0,7,8,9,10,12,16,24,36,65,85,97
POST,POST /cart (pre-checkout add),4382,0,7,8.653376912377839,3.8070680002419977,90.6448800014914,17329.72546782291,14.652116410382622,0.0,7,8,9,10,12,17,28,44,75,91,91
POST,POST /cart/checkout,4382,0,5,5.690894950948519,3.0098869992798427,69.53161400087993,6403.9297124600635,14.652116410382622,0.0,5,6,6,7,8,10,12,14,55,70,70
POST,POST /cart/empty,4621,0,7,7.938697622372527,3.258667000409332,79.26023700019869,9916.818437567626,15.451261965398926,0.0,7,8,8,9,12,15,26,38,54,79,79
POST,POST /setCurrency,6710,0,7,8.095319732630427,3.227711998988525,80.68582699888793,9962.791952309984,22.436262234976585,0.0,7,8,9,9,12,15,26,42,70,81,81
,Aggregated,99625,0,5,5.850173226367855,1.925632001075428,96.73828199993295,10786.597450439147,333.11663564225665,0.0,5,6,7,7,9,12,19,27,56,79,97
