procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 1024672 97588 1924864   0    0     2   623 3572   30  4  3 93  0  0  0
 0  0      0 1024672 97588 1924864   0    0     0    32 3316 4940  3  1 96  0  0  0
 3  0      0 1022908 97592 1924864   0    0     0    64 3415 5582  3  3 94  0  0  0
 0  0      0 1022908 97592 1924884   0    0     0    28 3415 5872  3  2 96  0  0  0
 1  0      0 1022436 97604 1924900   0    0     0   196 4040 7905  6  3 90  1  0  0
 0  0      0 1022436 97604 1924916   0    0     0    28 4022 7411  4  3 94  0  0  0
 1  0      0 1022436 97604 1924916   0    0     0     0 3150 5185  3  1 96  0  0  0
 0  0      0 1021680 97604 1924920   0    0     0    60 3875 6570  3  3 94  0  0  0
 0  0      0 1021456 97604 1924920   0    0     0     0 3520 6178  3  2 95  0  0  0
 0  0      0 1021456 97608 1924924   0    0     0    64 3235 5015  2  2 97  0  0  0
 0  0      0 1021456 97608 1924924   0    0     0   360 3320 4901  2  2 96  0  0  0
 0  0      0 1021456 97608 1924924   0    0     0    52 3399 5600  3  2 95  0  0  0
 0  0      0 1021456 97608 1924924   0    0     0    40 3672 5919  4  2 94  0  0  0
 0  0      0 1021456 97612 1924924   0    0     0    64 3769 5998  5  2 93  0  0  0
 5  0      0 1021456 97644 1924748   0    0     0   388 4031 7028  5  3 91  1  0  0
 0  0      0 1020448 97644 1924748   0    0     0    24 4194 7587  5  4 91  0  0  0
 0  0      0 1020448 97644 1924764   0    0     0     0 3260 4777  2  2 96  0  0  0
 0  0      0 1020448 97648 1924760   0    0     0   236 3815 5983  4  3 93  0  0  0
 0  0      0 1020448 97648 1924768   0    0     0     0 3599 5673  3  3 94  0  0  0
 0  0      0 1020448 97656 1924780   0    0     0   152 4054 7541  5  2 93  0  0  0
 0  0      0 1020224 97656 1924780   0    0     0    60 3692 6955  3  3 94  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1020224 97656 1924780   0    0     0    32 3387 5420  2  3 95  0  0  0
 0  0      0 1019972 97660 1924780   0    0     0   108 3476 5416  4  3 93  0  0  0
 0  0      0 1019720 97660 1924784   0    0     0   244 3764 5904  5  3 92  0  0  0
 0  0      0 1019720 97660 1924784   0    0     0     0 3623 5601  4  3 93  0  0  0
 4  0      0 1019720 97660 1924784   0    0     0    24 3591 5981  5  3 92  0  0  0
 0  0      0 1019720 97660 1924784   0    0     0     8 3635 6116  3  4 93  0  0  0
