procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  0      0 1049704 89128 1914904   0    0     3   800 3564   30  4  3 93  0  0  0
 0  0      0 1048696 89128 1914920   0    0     0     0 3214 4928  2  2 96  0  0  0
 0  0      0 1048696 89136 1914944   0    0     0    48 3800 6257  3  2 95  0  0  0
 2  0      0 1045424 89156 1914956   0    0     0   196 3707 7039  4  2 94  1  0  0
 0  0      0 1045424 89160 1915028   0    0     0    92 3728 6528  3  2 96  0  0  0
 0  0      0 1045424 89160 1915028   0    0     0     0 3101 5283  2  1 97  0  0  0
 0  0      0 1045424 89160 1915028   0    0     0    24 3246 5136  2  2 96  0  0  0
 0  0      0 1045424 89160 1915028   0    0     0     0 3149 4604  2  2 96  0  0  0
 0  0      0 1045424 89164 1915028   0    0     0    76 3679 5676  3  2 96  0  0  0
 0  0      0 1045424 89164 1915032   0    0     0    24 3152 4875  2  2 96  0  0  0
 2  0      0 1045184 89164 1915032   0    0     0   120 3779 6001  5  2 94  0  0  0
 0  0      0 1045184 89164 1915032   0    0     0     0 3344 4546  2  2 96  0  0  0
 1  0      0 1045184 89164 1915032   0    0     0    24 3823 5721  3  3 94  0  0  0
 0  0      0 1045184 89164 1915032   0    0     0     0 3206 4647  3  1 96  0  0  0
 1  0      0 1045184 89180 1915028   0    0     0   132 3625 5445  3  3 94  0  0  0
 0  0      0 1045184 89180 1915028   0    0     0   284 3312 5024  3  1 97  0  0  0
 0  0      0 1044960 89180 1915028   0    0     0    28 3454 4831  3  2 95  0  0  0
 1  0      0 1044960 89180 1915028   0    0     0     0 3305 4631  2  2 96  0  0  0
 0  0      0 1043196 89196 1915032   0    0     0   200 4029 6665  4  3 92  1  0  0
 2  0      0 1042692 89196 1915040   0    0     0     0 3325 4775  3  2 96  0  0  0
 2  0      0 1042692 89196 1915040   0    0     0    76 3853 6308  3  2 95  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 1042692 89196 1915040   0    0     0     0 3284 4708  2  1 97  0  0  0
 0  0      0 1042692 89196 1915044   0    0     0    24 4114 6564  5  3 92  0  0  0
 2  0      0 1042692 89196 1915044   0    0     0     0 3500 4966  3  1 96  0  0  0
 1  0      0 1042188 89200 1915064   0    0     0    96 3509 5505  3  3 95  0  0  0
 0  0      0 1042188 89200 1915064   0    0     0     0 3369 5046  2  1 97  0  0  0
 0  0      0 1042188 89200 1915064   0    0     0    28 3054 5245  2  1 97  0  0  0
 3  0      0 1042188 89200 1915064   0    0     0     8 3438 5365  3  2 95  0  0  0
 0  0      0 1042188 89208 1915068   0    0     0    80 3156 4387  2  1 97  0  0  0
 1  0      0 1042188 89208 1915068   0    0     0    44 3374 5111  2  3 95  0  0  0
 5  0      0 1042188 89208 1915068   0    0     0    52 3689 6079  3  2 95  0  0  0
 2  0      0 1042188 89208 1915068   0    0     0     0 3049 4809  2  1 97  0  0  0
 2  0      0 1042188 89212 1915072   0    0     0    48 3992 6378  5  4 91  0  0  0
 0  0      0 1042188 89220 1915064   0    0     0   152 3561 5972  3  3 94  0  0  0
 0  0      0 1041964 89220 1915100   0    0     0    64 3442 5164  3  2 96  0  0  0
 0  0      0 1041964 89220 1915100   0    0     0     0 3080 4269  3  1 97  0  0  0
 1  0      0 1041964 89220 1915100   0    0     0    24 3183 4691  2  2 96  0  0  0
 1  0      0 1041964 89220 1915100   0    0     0     8 3268 4828  3  2 95  0  0  0
 0  0      0 1041964 89224 1915104   0    0     0    64 3359 5656  2  2 96  0  0  0
 1  0      0 1041964 89224 1915104   0    0     0    40 3591 6264  3  2 95  1  0  0
 0  0      0 1041964 89224 1915104   0    0     0    52 4331 7685  6  3 91  0  0  0
 0  0      0 1039696 89224 1915104   0    0     0     0 3465 5287  3  2 95  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1039444 89228 1915108   0    0     0    92 4041 6654  4  4 93  0  0  0
 0  0      0 1039444 89228 1915108   0    0     0    44 3239 4915  3  2 96  0  0  0
 0  0      0 1038688 89228 1915112   0    0     0    64 3555 5369  3  2 95  0  0  0
 0  0      0 1038688 89228 1915112   0    0     0     8 2983 4338  2  2 97  0  0  0
 0  0      0 1038688 89228 1915112   0    0     0    24 3521 5177  3  1 96  0  0  0
 1  0      0 1038688 89232 1915108   0    0     0    28 3320 4642  3  3 95  0  0  0
 0  0      0 1038688 89240 1915120   0    0     0   208 4039 6271  4  2 94  0  0  0
 0  0      0 1038688 89240 1915124   0    0     0    40 4179 6630  4  3 93  0  0  0
 0  0      0 1038688 89240 1915124   0    0     0    28 4252 6562  4  3 94  0  0  0
 1  0      0 1038688 89240 1915124   0    0     0    32 3306 4430  3  1 96  0  0  0
 0  0      0 1038688 89244 1915128   0    0     0    72 3772 5427  4  3 93  0  0  0
 0  0      0 1038688 89244 1915128   0    0     0     0 3411 5125  3  2 96  0  0  0
 0  0      0 1038688 89244 1915128   0    0     0    64 3375 5024  3  1 96  0  0  0
 0  0      0 1038688 89244 1915128   0    0     0     0 3315 4860  2  2 96  0  0  0
 0  0      0 1038688 89244 1915128   0    0     0    48 3301 4954  2  2 96  0  0  0
 0  0      0 1038688 89244 1915132   0    0     0     4 3251 5205  3  2 96  0  0  0
 0  0      0 1038688 89244 1915132   0    0     0    28 3633 5586  3  2 95  0  0  0
 0  0      0 1038688 89244 1915132   0    0     0    40 3591 5997  3  2 95  0  0  0
 0  0      0 1038688 89244 1915132   0    0     0    28 3837 5796  3  2 95  0  0  0
 0  0      0 1038688 89248 1915136   0    0     0    68 3428 5440  3  3 95  0  0  0
 0  0      0 1038688 89248 1915136   0    0     0    28 3826 6752  5  3 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 1038688 89248 1915144   0    0     0   152 3900 6128  4  2 94  1  0  0
 0  0      0 1038688 89248 1915148   0    0     0    60 3535 5792  2  3 95  0  0  0
 0  0      0 1038688 89248 1915148   0    0     0     0 3368 5453  3  2 95  0  0  0
 0  0      0 1038688 89248 1915156   0    0     0    52 3306 5408  3  2 96  0  0  0
 0  0      0 1038688 89248 1915156   0    0     0     0 3086 4763  2  2 96  0  0  0
 0  0      0 1038688 89248 1915156   0    0     0    44 3393 5099  2  2 96  0  0  0
 0  0      0 1038688 89248 1915156   0    0     0    44 3512 5434  2  3 95  0  0  0
 0  0      0 1038688 89248 1915156   0    0     0    24 3921 6773  4  2 94  0  0  0
 0  0      0 1038688 89252 1915156   0    0     0    88 3449 5030  2  2 96  0  0  0
 0  0      0 1038688 89252 1915160   0    0     0    24 3882 6743  4  3 93  0  0  0
 1  0      0 1038688 89252 1915160   0    0     0     0 3113 4803  2  2 96  0  0  0
 0  0      0 1038688 89252 1915160   0    0     0    60 3522 5927  3  3 94  0  0  0
 0  0      0 1038688 89252 1915160   0    0     0     4 3222 5496  2  1 97  0  0  0
 0  0      0 1038688 89260 1915152   0    0     0    76 3490 5437  3  2 96  0  0  0
 1  0      0 1038688 89260 1915164   0    0     0     0 3048 4788  3  1 96  0  0  0
 0  0      0 1038688 89268 1915156   0    0     0   148 3959 7051  4  3 94  0  0  0
 0  0      0 1038688 89268 1915172   0    0     0    40 3830 6474  3  2 95  0  0  0
 0  0      0 1038688 89268 1915172   0    0     0    28 3799 6141  3  2 95  0  0  0
