procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1096140 82840 1910736   0    0     4  1074 3580   29  4  3 93  0  0  0
 0  0      0 1094124 82848 1910728   0    0     0    48 3340 5337  3  2 95  0  0  0
 0  0      0 1093368 82848 1910740   0    0     0    24 3378 5398  2  2 96  0  0  0
 0  0      0 1093368 82856 1910732   0    0     0   124 4011 6662  3  3 94  0  0  0
 0  0      0 1093368 82856 1910748   0    0     0    24 3051 4696  2  1 97  0  0  0
13  0      0 1093368 82856 1910748   0    0     0     0 3213 4971  3  2 95  0  0  0
 1  0      0 1090864 82856 1910752   0    0     0    56 3767 7212  4  3 94  0  0  0
 0  0      0 1089856 82856 1910768   0    0     0    36 3407 5054  3  2 95  0  0  0
 0  0      0 1089856 82856 1910768   0    0     0    52 3741 5747  2  2 96  0  0  0
 0  0      0 1089604 82856 1910768   0    0     0     0 2947 4170  2  2 96  0  0  0
 0  0      0 1089604 82856 1910772   0    0     0    80 3349 5095  3  2 95  0  0  0
 0  0      0 1089604 82856 1910772   0    0     0     0 3414 5349  2  1 97  0  0  0
 0  0      0 1089604 82856 1910772   0    0     0    28 3648 5952  3  2 95  0  0  0
 0  0      0 1089604 82856 1910772   0    0     0    16 3608 6133  3  2 95  0  0  0
 0  0      0 1089604 82864 1910780   0    0     0    52 3310 4779  2  2 95  1  0  0
 0  0      0 1089604 82864 1910780   0    0     0     0 3254 4693  2  1 97  0  0  0
 0  0      0 1089604 82864 1910780   0    0     0    28 3818 6802  4  3 93  0  0  0
 0  0      0 1089100 82864 1910780   0    0     0    40 3796 5981  3  2 96  0  0  0
 0  0      0 1089100 82876 1910788   0    0     0   152 4135 6761  4  3 93  0  0  0
 0  0      0 1089100 82880 1910788   0    0     0    52 3757 5765  3  2 95  0  0  0
 2  0      0 1089100 82888 1910788   0    0     0    84 3724 5672  3  2 95  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 1089100 82888 1910800   0    0     0     0 3209 4696  2  1 97  0  0  0
 2  0      0 1089100 82888 1910800   0    0     0    28 3844 6209  3  2 95  0  0  0
