procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 1201084 77356 1739256   0    0 24553   500 10210 138 15 21 65  0  0  0
 1  0      0 1193272 77360 1739332   0    0     0   116 4574 9799  3  5 92  0  0  0
 0  0      0 1188736 77388 1739496   0    0     0   232 6947 15757 5  5 90  0  0  0
 0  0      0 1180460 77392 1739688   0    0     0    76 9080 22254 8  9 83  0  0  0
 0  0      0 1175924 77392 1739980   0    0     0    32 9593 24865 7 10 83  0  0  0
 2  0      0 1171892 77392 1740148   0    0     0    24 11104 29006 6 9 86  0  0  0
 0  0      0 1168112 77392 1740452   0    0     0   100 13821 35874 6 12 82 0  0  0
 7  0      0 1163616 77392 1740756   0    0     0     0 12544 33120 8 12 80 0  0  0
 6  0      0 1160620 77392 1740932   0    0     0    28 14320 39453 8 15 78 0  0  0
 0  0      0 1160116 77392 1741340   0    0     0  1584 17795 47741 8 17 75 0  0  0
 8  0      0 1158380 77396 1741672   0    0     0    96 16779 46827 10 16 74 0 0  0
 8  0      0 1156112 77396 1742176   0    0     0    20 17876 51741 8 18 74 0  0  0
 1  0      0 1151828 77396 1742584   0    0     0    28 20329 61967 13 21 66 0 0  0
 2  0      0 1145808 77432 1742864   0    0     0   700 19932 61287 13 22 65 1 0  0
11  0      0 1144320 77432 1743588   0    0     0    28 20430 61031 11 24 65 0 0  0
10  0      0 1143816 77440 1744276   0    0     0   204 24060 70764 14 23 63 0 0  0
13  0      0 1142308 77440 1744656   0    0     0    44 21932 63378 13 23 64 0 0  0
 3  0      0 1141832 77444 1745320   0    0     0   120 24576 73496 19 32 48 0 0  0
17  0      0 1138052 77444 1745960   0    0     0    96 23735 74865 19 31 49 0 0  0
 6  0      0 1136792 77444 1746500   0    0     0     0 24952 77819 16 33 51 0 0  0
 1  0      0 1134552 77444 1747164   0    0     0    28 26357 79676 18 37 46 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
10  0      0 1132792 77444 1747884   0    0     0    20 27943 83090 15 33 52 0 0  0
 0  0      0 1129520 77452 1748384   0    0     0    64 24388 81907 18 30 53 0 0  0
11  0      0 1126524 77452 1749220   0    0     0    28 30118 91721 15 33 51 0 0  0
 5  0      0 1123792 77452 1749912   0    0     0   480 30038 90757 20 35 45 0 0  0
 0  0      0 1118028 77452 1751116   0    0     0    24 28598 94189 19 32 49 0 0  0
 9  0      0 1115536 77456 1751932   0    0     0    80 34014 103953 19 37 44 0 0 0
 0  0      0 1115060 77456 1752896   0    0     0     0 32740 98548 17 36 47 0 0  0
13  0      0 1111560 77456 1753688   0    0     0    24 33897 105508 18 39 43 0 0 0
 9  0      0 1109824 77456 1754504   0    0     0     0 30866 96838 21 40 39 0 0  0
 2  0      0 1105064 77456 1755536   0    0     0    64 31996 102257 25 40 35 0 0 0
 7  0      0 1101064 77456 1756404   0    0     0    20 32314 100909 20 42 37 0 0 0
 2  0      0 1099048 77464 1757276   0    0     0   148 31796 111270 23 44 34 0 0 0
 9  0      0 1096556 77468 1758128   0    0     0    92 35072 110228 22 39 39 0 0 0
 8  0      0 1095800 77468 1758860   0    0     0 16276 33656 106313 20 39 41 0 0 0
10  0      0 1095300 77468 1759780   0    0     0    24 35758 108655 23 41 36 0 0 0
 4  0      0 1094320 77476 1760568   0    0     0   108 31752 105108 21 39 40 0 0 0
 8  0      0 1093816 77476 1761512   0    0     0     0 34053 113479 23 38 39 0 0 0
11  0      0 1091104 77476 1762400   0    0     0    24 35227 104365 25 43 32 0 0 0
11  0      0 1090348 77476 1763392   0    0     0     0 34182 112745 27 45 28 0 0 0
 6  0      0 1088612 77476 1764140   0    0     0    28 29871 102961 23 40 37 0 0 0
 1  0      0 1087380 77484 1765012   0    0     0    48 31787 104094 22 44 34 0 0 0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  0      0 1085900 77484 1765784   0    0     0    64 33476 103111 23 46 31 0 0 0
 1  0      0 1083912 77484 1766544   0    0     0    28 34377 107542 27 42 31 0 0 0
15  0      0 1081656 77484 1767680   0    0     0    28 31817 103782 24 45 30 0 0 0
 9  0      0 1079920 77484 1768628   0    0     0    28 37262 112925 24 46 30 0 0 0
 7  0      0 1079192 77488 1769628   0    0     0   116 38421 115368 25 48 27 0 0 0
 7  0      0 1078688 77496 1770536   0    0     0   148 35059 103948 28 44 28 0 0 0
15  0      0 1075444 77496 1771392   0    0     0    96 32144 99566 30 48 22 0 0  0
 0  0      0 1075220 77496 1772268   0    0     0     0 25663 86118 30 51 19 0 0  0
17  0      0 1074524 77496 1772964   0    0     0    28 29774 97610 28 47 25 0 0  0
13  0      0 1073544 77496 1774012   0    0     0    20 31468 99905 29 47 24 0 0  0
 4  0      0 1072816 77496 1774808   0    0     0    64 32177 105047 24 43 33 0 0 0
18  0      0 1069824 77496 1775752   0    0     0    28 36040 108537 24 48 28 0 0 0
 1  0      0 1069068 77496 1776528   0    0     0    28 31059 97340 27 49 24 0 0  0
19  0      0 1067836 77496 1777376   0    0     0    28 31011 99116 26 45 30 0 0  0
21  0      0 1066832 77500 1778228   0    0     0   172 31345 99849 27 49 25 0 0  0
 9  0      0 1065376 77500 1779048   0    0     0     0 25938 92333 27 50 24 0 0  0
21  0      0 1063136 77500 1779920   0    0     0    28 27682 87886 32 47 20 0 0  0
 9  0      0 1061960 77500 1780892   0    0     0     0 25771 80291 36 57 7 0  0  0
 6  0      0 1061008 77500 1781800   0    0     0 21648 28456 89946 31 54 15 0 0  0
 9  0      0 1059024 77508 1782636   0    0     0    88 32498 102121 28 46 25 1 0 0
 8  0      0 1058016 77520 1783548   0    0     0   188 29110 92591 30 50 21 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
17  0      0 1055048 77520 1784452   0    0     0    36 26305 83073 32 50 18 0 0  0
 0  0      0 1052808 77524 1785292   0    0     0   108 30557 96881 26 45 28 0 0  0
 9  0      0 1051856 77524 1786132   0    0     0  3112 27851 87243 33 51 16 0 0  0
17  0      0 1050124 77536 1787008   0    0     0   120 34077 102114 28 48 24 0 0 0
 5  0      0 1048892 77536 1787800   0    0     0     0 32177 102373 26 43 31 0 0 0
 5  0      0 1047660 77536 1788820   0    0     0    24 33338 101414 29 51 20 0 0 0
 9  0      0 1047408 77536 1789636   0    0     0     0 34401 110417 26 42 33 0 0 0
14  0      0 1045760 77536 1790412   0    0     0    28 25925 77904 32 53 15 0 0  0
15  0      0 1044836 77544 1791088   0    0     0    60 17185 47319 42 53 5 0  0  0
16  0      0 1038908 77552 1791956   0    0     0    64 16129 47918 41 55 3 0  0  0
16  0      0 1033676 77552 1792984   0    0     0     0 21062 74853 42 50 8 0  0  0
13  0      0 1032728 77552 1793772   0    0     0    56 27407 85932 30 48 22 0 0  0
 5  0      0 1031552 77552 1794712   0    0     0     0 28535 95892 26 47 28 0 0  0
13  0      0 1030068 77556 1795620   0    0     0   128 34538 108738 26 47 26 0 0 0
14  0      0 1028616 77568 1796404   0    0     0   140 28121 82429 35 50 15 0 0  0
 3  0      0 1026936 77572 1797272   0    0     0   108 29983 97423 29 47 23 0 0  0
 6  0      0 1026712 77572 1798264   0    0     0     0 34598 107148 29 49 22 0 0 0
 8  0      0 1026016 77572 1799036   0    0     0    28 33860 103838 24 48 28 0 0 0
 8  0      0 1025540 77572 1799988   0    0     0    20 32501 105952 27 43 30 0 0 0
 9  0      0 1024560 77572 1800720   0    0     0    28 30914 95525 27 43 30 0 0  0
10  0      0 1022544 77576 1801640   0    0     0    48 27576 92582 32 50 18 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 9  0      0 1020808 77580 1802444   0    0     0    84 28765 93952 31 50 18 0 0  0
 5  0      0 1019072 77580 1803448   0    0     0     0 31305 96886 32 49 19 0 0  0
 7  0      0 1018344 77584 1804188   0    0     0   124 28607 91565 30 48 22 0 0  0
12  0      0 1016692 77584 1805220   0    0     0     0 27853 88476 35 51 14 0 0  0
 9  0      0 1014204 77584 1805988   0    0     0    28 32487 104102 27 45 28 0 0 0
13  0      0 1013700 77584 1807016   0    0     0     0 35189 104890 29 49 22 0 0 0
14  0      0 1012720 77584 1807880   0    0     0    24 33875 104401 28 50 22 0 0 0
 5  0      0 1011964 77588 1808824   0    0     0 11372 31870 98809 28 47 25 0 0  0
 9  0      0 1010732 77604 1809576   0    0     0   252 28219 89853 33 47 21 0 0  0
 8  0      0 1008716 77604 1810376   0    0     0    36 33471 100630 25 44 32 0 0 0
11  0      0 1008016 77612 1811380   0    0     0   112 30875 100623 30 51 19 0 0 0
 3  0      0 1006760 77612 1812204   0    0     0     0 31245 100921 25 46 29 0 0 0
17  0      0 1004804 77616 1813152   0    0     0 15368 27482 90191 30 48 22 0 0  0
 5  0      0 1004300 77616 1814020   0    0     0     0 34155 105686 32 48 20 0 0 0
 8  0      0 1001556 77620 1814820   0    0     0   108 35121 102349 26 49 26 0 0 0
18  0      0 1001080 77620 1815760   0    0     0     0 38535 109124 23 48 28 0 0 0
15  0      0 1000384 77620 1816764   0    0     0    28 35705 108493 28 45 26 0 0 0
 1  0      0 999372  77620 1817644   0    0     0    20 35417 108008 22 46 32 0 0 0
12  0      0 998140  77620 1818404   0    0     0    24 35590 106526 25 45 30 0 0 0
 1  0      0 995992  77628 1819412   0    0     0    48 30665 99176 28 40 33 0 0  0
 6  0      0 994760  77632 1820120   0    0     0    88 33156 106173 25 40 35 0 0 0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 992240  77632 1821024   0    0     0     0 31947 95781 25 43 32 0 0  0
 6  0      0 991764  77632 1821928   0    0     0   124 33500 107705 26 43 31 0 0 0
 6  0      0 991040  77640 1822732   0    0     0   148 33959 106886 23 44 33 0 0 0
 6  0      0 990060  77648 1823540   0    0     0   100 33992 105637 24 46 30 0 0 0
13  0      0 989836  77648 1824520   0    0     0     0 31876 105207 23 43 35 0 0 0
 9  0      0 989836  77648 1825312   0    0     0    28 33805 105161 20 41 39 0 0 0
11  0      0 988856  77648 1826248   0    0     0    20 35319 107576 22 51 26 0 0 0
 0  0      0 987876  77648 1827172   0    0     0    28 35596 106110 26 41 32 0 0 0
15  0      0 983624  77652 1828096   0    0     0    48 34372 108125 24 46 30 0 0 0
14  0      0 983176  77652 1828924   0    0     0    88 33391 109540 23 45 32 0 0 0
 3  0      0 983176  77652 1829768   0    0     0     0 32952 106881 21 43 36 0 0 0
 0  0      0 982676  77652 1830556   0    0     0    88 34289 108126 21 39 40 0 0 0
