Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,16899,0,6,16.93850409615484,1.0219489995506592,903.6321599996882,10017.356115746494,56.46266220296706,0.0,6,10,13,16,31,57,110,180,770,870,900
GET,GET /?currency=X,13663,0,6,16.800545824413753,1.2188120017526671,883.213651002734,10016.793237209984,45.650591968704596,0.0,6,10,13,17,32,56,110,180,740,860,880
GET,GET /?product_id=X,1693,0,6,16.65369199050835,1.1856029996124562,896.050068000477,10018.151210868282,5.65662388955697,0.0,6,9,13,16,29,55,98,210,850,900,900
GET,GET /cart,6960,0,5,12.133459262495622,1.2522319993877318,556.4193499994872,12291.143390804598,23.254638081108393,0.0,5,8,11,13,23,39,77,120,370,560,560
GET,GET /product/[id],11841,0,5,10.604678671731802,1.2367119998089038,396.8617850005103,7577.6766320412125,39.56295539057536,0.0,5,7,9,11,21,34,63,100,310,380,400
POST,POST /cart (add),8353,0,10,20.64850187573295,2.1472629996424075,649.121816000843,17360.746438405364,27.908906880962416,0.0,10,14,18,22,40,68,120,190,560,650,650
POST,POST /cart (pre-checkout add),3372,0,10,20.091910629329384,2.513473002181854,582.873922001454,17344.19839857651,11.266471208261136,0.0,10,14,18,22,38,66,120,190,480,580,580
POST,POST /cart/checkout,3372,0,5,9.338628546250254,1.480008002545219,266.633228999126,6432.00059311981,11.266471208261136,0.0,5,7,10,11,17,28,50,68,200,270,270
POST,POST /cart/empty,3369,0,9,22.660996219367775,2.2884899990458507,969.5298880033079,9973.570792520035,11.256447657364106,0.0,9,14,19,23,41,70,120,210,920,970,970
POST,POST /setCurrency,5099,0,9,22.150354409498025,2.347308000025805,942.5411880001775,10018.003922337713,17.036695341317774,0.0,9,13,18,21,39,69,150,270,830,940,940
,Aggregated,74621,0,7,16.28240687130833,1.0219489995506592,969.5298880033079,10831.368167137936,249.32246382907894,0.0,7,10,13,17,30,53,100,170,680,900,970
