procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 1004076 103824 1929256  0    0     1   533 3578   30  4  3 93  0  0  0
 0  0      0 1003572 103824 1929256  0    0     0    28 3588 6353  3  3 94  0  0  0
 0  0      0 1000576 103824 1929256  0    0     0     0 3452 5384  2  2 96  0  0  0
 0  0      0 1000576 103840 1929276  0    0     0   236 4272 6982  4  3 93  0  0  0
 0  0      0 1000576 103840 1929276  0    0     0     0 3631 5756  3  1 96  0  0  0
 2  0      0 1000352 103840 1929276  0    0     0    28 3434 5294  3  2 95  0  0  0
 3  0      0 1000352 103840 1929276  0    0     0     0 3146 4566  3  2 95  0  0  0
 0  0      0 998336 103844 1929296   0    0     0    52 3595 5876  2  2 96  0  0  0
 1  0      0 998084 103844 1929296   0    0     0    44 3561 5640  3  3 94  1  0  0
 0  0      0 998084 103844 1929296   0    0     0    52 3848 6038  3  2 95  0  0  0
 0  0      0 998084 103864 1929152   0    0     0   424 4602 8233  6  5 88  0  0  0
 0  0      0 998084 103868 1929156   0    0     0   192 3804 6415  4  3 94  0  0  0
 0  0      0 995088 103868 1929156   0    0     0     0 3583 5981  3  3 95  0  0  0
 0  0      0 995088 103868 1929160   0    0     0    60 3619 5947  3  3 94  0  0  0
 0  0      0 995088 103868 1929160   0    0     0     0 3490 5899  3  2 96  0  0  0
 0  0      0 995088 103872 1929164   0    0     0    48 3821 6246  3  2 95  0  0  0
 0  0      0 995088 103872 1929164   0    0     0     0 3403 5218  5  2 93  0  0  0
 0  0      0 995088 103872 1929164   0    0     0    28 3355 4652  3  3 94  0  0  0
 0  0      0 995088 103884 1929172   0    0     0   144 4571 7963  6  3 90  0  0  0
 0  0      0 995088 103884 1929172   0    0     0    72 3555 5460  3  1 96  0  0  0
13  0      0 995088 103884 1929172   0    0     0    68 3366 5398  3  3 94  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 995088 103892 1929176   0    0     0    76 4129 7822  5  4 90  0  0  0
