procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 997312 106644 1931012   0    0     1   504 3579   30  4  3 93  0  0  0
 0  0      0 997060 106644 1931012   0    0     0     0 3049 5294  3  2 95  0  0  0
 0  0      0 997060 106660 1931016   0    0     0    92 3966 6845  4  2 94  0  0  0
 0  0      0 997060 106672 1931032   0    0     0   216 4054 6743  5  3 92  0  0  0
 0  0      0 997060 106672 1931032   0    0     0    64 3568 5820  3  2 95  0  0  0
 0  0      0 996308 106672 1931032   0    0     0     0 3879 6994  4  4 93  0  0  0
 0  0      0 996308 106672 1931036   0    0     0    56 3660 5924  3  2 96  0  0  0
 1  0      0 996308 106672 1931036   0    0     0     0 3204 5051  2  2 96  0  0  0
 1  0      0 996308 106672 1931040   0    0     0    24 3486 5965  3  3 94  0  0  0
 2  0      0 996084 106672 1931040   0    0     0   348 3226 5266  2  2 96  0  0  0
 2  0      0 995328 106672 1931040   0    0     0    28 3588 6096  2  2 96  0  0  0
 2  0      0 995328 106676 1931036   0    0     0    20 3271 5137  3  2 95  0  0  0
 0  0      0 995328 106680 1931044   0    0     0    56 3639 6385  4  3 94  0  0  0
 0  0      0 995328 106680 1931044   0    0     0    48 3427 5272  3  2 95  0  0  0
 0  0      0 995328 106680 1931044   0    0     0    60 3690 5583  3  3 94  0  0  0
 1  0      0 995328 106680 1931044   0    0     0     0 4144 7300  5  3 91  0  0  0
 1  0      0 995328 106684 1931048   0    0     0    48 3473 5558  3  2 95  0  0  0
 3  0      0 995328 106684 1931048   0    0     0     0 3137 4696  2  2 96  0  0  0
 3  0      0 995328 106692 1931064   0    0     0   136 4321 8046  7  3 90  0  0  0
 1  0      0 995328 106692 1931064   0    0     0    72 3622 5675  4  2 94  0  0  0
 0  0      0 995328 106692 1931064   0    0     0    28 3682 6912  3  4 92  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 995328 106728 1930884   0    0     0   436 3759 6331  4  4 91  1  0  0
 4  0      0 995328 106736 1930888   0    0     0   184 3793 6959  5  2 93  0  0  0
 2  0      0 992556 106736 1930888   0    0     0    52 3695 6277  5  3 92  0  0  0
 0  0      0 992556 106736 1930888   0    0     0    56 3924 6586  5  4 91  0  0  0
 0  0      0 990792 106736 1930904   0    0     0    12 3939 6203  4  4 92  0  0  0
 3  0      0 990792 106744 1930908   0    0     0    64 3341 5183  5  5 90  0  0  0
 0  0      0 990792 106744 1930908   0    0     0   220 2963 4050  3  2 95  0  0  0
