Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,11267,0,3,3.849469824171066,2.0503769992501475,50.316299000769504,9962.231827460726,37.58717889907976,0.0,3,4,4,4,5,6,9,13,30,38,50
GET,GET /?currency=X,9138,0,3,3.8654110419133247,2.07934500031115,43.36970999975165,9962.946158896913,30.484746674340183,0.0,3,4,4,4,5,6,8,12,30,43,43
GET,GET /?product_id=X,1126,0,3,3.8766592460209717,2.155541000320227,37.4797620006575,9962.722912966252,3.7563826609003113,0.0,3,4,4,4,5,6,9,13,31,37,37
GET,GET /cart,4523,0,3,3.9269251810877734,2.062397001282079,39.21009400073672,12285.26309971258,15.08891543095214,0.0,3,4,4,4,5,6,9,13,27,39,39
GET,GET /product/[id],7966,0,3,3.907564613363444,2.1285490001901053,46.572245000788826,7552.978157167964,26.57490610722192,0.0,3,4,4,4,5,6,8,12,35,47,47
POST,POST /cart (add),5559,0,6,6.62217482136997,3.736483000466251,44.39087599894265,17325.68483540205,18.545054362295588,0.0,6,7,7,7,8,10,14,19,42,44,44
POST,POST /cart (pre-checkout add),2338,0,6,6.614161216419217,3.738977000466548,58.9633910003613,17291.392215568863,7.7996648855994035,0.0,6,7,7,7,8,10,14,20,37,59,59
POST,POST /cart/checkout,2337,0,4,4.706400397088762,2.912646001277608,15.15848199960601,6403.837398373984,7.796328844159882,0.0,4,5,5,5,6,7,8,10,14,15,15
POST,POST /cart/empty,2281,0,5,6.047292130196092,3.291040999101824,42.09992899995996,9917.557650153442,7.6095105235467235,0.0,5,6,6,7,8,9,13,18,33,42,42
POST,POST /setCurrency,3386,0,5,6.183365561724252,2.9051590008748462,62.235114000941394,9963.315121086827,11.2958363142171,0.0,5,6,7,7,8,9,14,21,42,62,62
,Aggregated,49921,0,4,4.606369040083924,2.0503769992501475,62.235114000941394,10783.065683780373,166.538524702313,0.0,4,5,5,6,7,8,10,14,34,49,62
