Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,34178,0,3,5.1687254619354315,1.1887029995705234,229.47020500032522,10014.997366727135,113.91286449168491,0.0,3,4,5,5,8,12,26,41,110,170,230
GET,GET /?currency=X,27011,0,3,5.184378077705812,1.1928990006708773,201.12203800090356,10014.39439487616,90.02575875665343,0.0,3,4,5,5,8,12,25,41,110,180,200
GET,GET /?product_id=X,3473,0,3,5.193170699402541,1.3096900001983158,164.81058500176005,10014.243881370572,11.5752641576342,0.0,3,4,5,6,8,13,23,39,120,160,160
GET,GET /cart,13647,0,3,4.349192854693358,1.3959459993202472,145.63213200017344,12085.010112112552,45.484488902745156,0.0,3,3,4,4,6,9,21,33,89,140,150
GET,GET /product/[id],24060,0,3,3.902183813515241,1.2534330016933382,117.21381400093378,7577.791521197008,80.19028379864062,0.0,3,3,4,4,5,8,18,31,78,100,120
POST,POST /cart (add),16850,0,5,7.32995915270456,2.6248890007991577,184.992312999384,17314.031928783385,56.15986209505795,0.0,5,6,7,7,10,15,33,54,110,170,180
POST,POST /cart (pre-checkout add),6925,0,5,7.343143772264305,2.6951029994961573,129.06504799866525,17334.87855595668,23.080536795743402,0.0,5,6,7,8,10,14,33,50,100,130,130
POST,POST /cart/checkout,6925,0,5,5.2435613953953295,2.6495190013520187,96.03662300105498,6430.9000722021665,23.080536795743402,0.0,5,5,5,6,7,8,12,18,39,96,96
POST,POST /cart/empty,6957,0,5,7.44594606727263,2.363436000450747,199.60212600017258,9970.906856403622,23.187190539781493,0.0,5,6,7,8,11,16,35,54,130,200,200
POST,POST /setCurrency,10164,0,5,7.345954505107995,2.2134840000944678,245.533218001583,10016.320641479733,33.87589545009905,0.0,5,6,7,7,10,15,35,57,140,210,250
,Aggregated,150190,0,4,5.4937497021385715,1.1887029995705234,245.533218001583,10801.715094213996,500.57268178378365,0.0,4,5,5,6,8,12,25,41,100,170,250
