procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 205604  48284 2057416   0    0   109   709 11737 120 28 37 35  0  0  0
 0  0      0 199080  48284 2057516   0    0    92     4 4886 8431  4  5 91  1  0  0
 1  0      0 195048  48292 2057660   0    0     0   104 4517 7351  3  4 93  0  0  0
 4  0      0 190792  48356 2057632   0    0    48   268 6124 10909 5  5 89  1  0  0
 2  0      0 187516  48356 2057820   0    0     0    56 6283 12333 5  7 88  0  0  0
 0  0      0 183516  48356 2057904   0    0     0    28 7983 16775 8  9 83  0  0  0
 0  0      0 180996  48356 2058108   0    0     0    20 9442 19599 6 10 84  0  0  0
 3  0      0 177968  48364 2058224   0    0     0   180 10170 22007 7 10 83 0  0  0
10  0      0 174200  48364 2058516   0    0     0    20 9995 22095 8 10 82  0  0  0
10  0      0 170168  48368 2058724   0    0   128    88 11899 27031 13 17 70 0 0  0
 6  0      0 165660  48368 2059048   0    0     0     0 13049 28610 10 13 76 0 0  0
 0  0      0 161920  48368 2059276   0    0     0     4 13988 32938 8 14 78 0  0  0
 3  0      0 159904  48372 2059608   0    0     0   204 14171 32554 9 16 74 1  0  0
 1  0      0 157668  48372 2059764   0    0     0  1868 14365 31052 11 19 70 0 0  0
10  0      0 156156  48372 2060140   0    0     0    24 16429 37516 11 21 68 0 0  0
 8  0      0 154420  48372 2060400   0    0     0     4 16244 37033 12 19 69 0 0  0
 3  0      0 149632  48372 2060720   0    0     0    24 17409 38762 13 19 67 0 0  0
 0  0      0 148384  48372 2061388   0    0     0    32 18229 41483 13 20 67 0 0  0
 6  0      0 144112  48376 2061888   0    0     0    52 17722 42811 14 23 62 0 0  0
 6  0      0 140584  48376 2062160   0    0     0     8 19149 46374 14 26 60 0 0  0
13  0      0 138092  48376 2062616   0    0     0    64 18252 42813 13 24 62 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  0      0 135824  48376 2063044   0    0     0     0 18650 45129 15 25 60 0 0  0
 4  0      0 133052  48376 2063388   0    0     0    48 20806 48844 17 28 56 0 0  0
 3  0      0 128520  48376 2063852   0    0     0    40 20974 50419 16 29 55 0 0  0
 6  0      0 127512  48376 2064404   0    0     0    32 20618 51863 16 27 57 0 0  0
12  0      0 122484  48376 2064848   0    0     0    24 22167 52221 17 24 59 0 0  0
 2  0      0 120228  48380 2065300   0    0     0    48 22515 54824 17 25 59 0 0  0
 8  0      0 118720  48396 2065788   0    0     0   164 19106 46829 21 31 47 1 0  0
 6  0      0 114436  48396 2066276   0    0     0    24 20747 51461 24 36 40 0 0  0
 6  0      0 111440  48396 2067464   0    0     0     8 20849 49082 27 42 31 0 0  0
 6  0      0 108452  48396 2067996   0    0     0    28 20982 48467 25 38 37 0 0  0
 5  0      0 103692  48396 2068644   0    0     0     0 21942 51194 28 41 31 0 0  0
 4  0      0 114376  48040 2055576   0    0    40    96 25513 62682 25 38 37 0 0  0
 3  0      0 113708  48040 2056068   0    0    68    40 23558 68008 25 38 36 1 0  0
 3  0      0 113484  48040 2056628   0    0     0  8168 26995 67533 22 37 41 0 0  0
 0  0      0 113260  48040 2057044   0    0     0     0 30132 72201 21 35 44 0 0  0
 9  0      0 113036  48040 2057612   0    0     0    32 27805 66879 18 34 48 0 0  0
 2  0      0 112812  48052 2058008   0    0     0   104 26349 68892 18 34 48 0 0  0
13  0      0 111848  48052 2058564   0    0     0    24 27819 68647 21 34 45 0 0  0
 6  0      0 111372  48052 2059088   0    0     0     0 24586 59692 24 45 31 0 0  0
10  0      0 109928  48052 2059780   0    0     0    24 25100 64878 24 44 32 0 0  0
 5  0      0 109200  48052 2060228   0    0     0     0 28228 67490 19 33 48 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0      0 107480  48064 2060860   0    0     0   164 28250 71833 21 32 47 0 0  0
 3  0      0 106800  48064 2061316   0    0    16    16 28410 68425 22 37 42 0 0  0
 4  0      0 106548  48068 2061800   0    0     0    80 30355 74488 18 36 46 0 0  0
 4  0      0 106044  48068 2062260   0    0     0     0 27246 69327 21 35 44 0 0  0
 0  0      0 105064  48068 2062772   0    0     0    52 25774 70099 22 37 41 0 0  0
 0  0      0 104840  48068 2063232   0    0     0    32 29186 75309 18 34 48 0 0  0
 7  0      0 103608  48068 2063752   0    0     0    24 25788 69399 21 40 40 0 0  0
 4  0      0 102884  48076 2064212   0    0     0    32 24110 63606 19 37 44 0 0  0
 2  0      0 101680  48084 2064712   0    0     0    52 27218 69591 24 41 35 0 0  0
12  0      0 114020  47672 2051896   0    0   376     0 26899 72795 21 33 46 1 0  0
 5  0      0 113048  47672 2052396   0    0     0    52 26455 65959 19 40 41 0 0  0
 9  0      0 110332  47672 2052876   0    0     0    16 29242 72880 24 35 41 0 0  0
 4  0      0 111248  47672 2053776   0    0     0    28 26530 66168 25 40 34 0 0  0
 1  0      0 111024  47676 2054360   0    0     0    24 30582 76095 24 32 44 0 0  0
 5  0      0 109596  47680 2054888   0    0    20    80 31534 74123 22 36 42 0 0  0
 5  0      0 109116  47688 2055336   0    0     0   172 29919 73289 22 33 45 0 0  0
 2  0      0 107888  47688 2055764   0    0     0    24 28422 71578 21 38 41 0 0  0
 7  0      0 107160  47688 2056316   0    0     0     0 28394 68269 24 35 40 0 0  0
 0  0      0 106684  47688 2056832   0    0     0    28 25914 66647 25 41 35 0 0  0
 5  0      0 106428  47688 2057336   0    0     0     0 29451 74962 20 34 47 0 0  0
11  0      0 105228  47692 2057704   0    0     0    52 32493 76377 21 37 42 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
10  0      0 102512  47696 2058304   0    0     0    64 30058 72619 21 34 45 0 0  0
 0  0      0 102036  47696 2058736   0    0     0    64 30424 72021 22 36 42 0 0  0
 7  0      0 104772  47668 2057212   0    0   524 14852 25803 63596 29 44 27 1 0  0
 7  0      0 104112  47668 2057748   0    0     0    28 28290 66515 23 39 38 0 0  0
 8  0      0 102972  47668 2058316   0    0     0   136 26366 72387 26 46 28 0 0  0
13  0      0 102216  47668 2058812   0    0    52    24 30279 71835 20 38 42 0 0  0
 0  0      0 101992  47668 2059324   0    0     0     0 26766 70037 20 36 43 0 0  0
 5  0      0 113616  47400 2047220   0    0   344    24 29335 73205 18 38 43 1 0  0
 7  0      0 112252  47400 2047896   0    0    80     0 27105 73465 21 39 40 0 0  0
 1  0      0 111052  47408 2048428   0    0     0   172 30403 74717 23 38 39 0 0  0
 2  0      0 109064  47408 2048912   0    0    20    40 30719 76770 19 38 42 0 0  0
 9  0      0 108616  47412 2049360   0    0     0    80 28009 69634 21 39 40 0 0  0
 5  0      0 107704  47412 2050100   0    0    76     0 27504 71482 23 37 39 1 0  0
 6  0      0 107232  47412 2050460   0    0     0    24 29073 75286 19 34 46 0 0  0
 0  0      0 107008  47412 2051000   0    0     0    60 30682 76085 20 37 43 0 0  0
 6  0      0 105832  47412 2051556   0    0     0    24 27576 72873 23 44 33 0 0  0
 5  0      0 105832  47420 2052012   0    0     0    32 27920 71784 20 35 45 0 0  0
 8  0      0 104880  47428 2052528   0    0     0    52 28560 73916 22 38 39 0 0  0
10  0      0 104124  47428 2053008   0    0     0     0 31906 77623 21 36 44 0 0  0
 4  0      0 103648  47428 2053580   0    0     0    24 29089 72835 22 40 38 0 0  0
10  0      0 101912  47428 2054132   0    0     0    20 29693 76970 21 34 45 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 115108  47152 2041152   0    0    48    72 27712 74903 19 38 43 0 0  0
 7  0      0 111984  47156 2043044   0    0  1104    24 25654 68423 23 43 34 1 0  0
 7  0      0 111508  47160 2043560   0    0     0    52 29835 78738 21 38 41 0 0  0
 7  0      0 111032  47176 2044016   0    0     0   200 30034 78850 23 35 42 0 0  0
11  0      0 110304  47176 2044600   0    0    24    24 28525 73911 22 39 39 0 0  0
 6  0      0 109856  47176 2044984   0    0     0     0 27849 71140 22 37 41 0 0  0
21  0      0 109132  47176 2045544   0    0     0    28 29923 74204 21 36 43 0 0  0
14  0      0 107424  47176 2046060   0    0     0     0 29341 73460 22 39 39 0 0  0
13  0      0 106444  47184 2046668   0    0   116    68 30260 74103 20 35 44 0 0  0
10  0      0 104960  47184 2047132   0    0    72     0 28683 72242 24 40 36 0 0  0
 6  0      0 104232  47192 2047728   0    0     0    80 28475 68837 25 41 34 0 0  0
 4  0      0 104008  47192 2048192   0    0     0 14976 27161 68503 25 43 32 0 0  0
 8  0      0 103284  47192 2048728   0    0     0    28 28412 69208 27 45 28 0 0  0
 6  0      0 102808  47200 2049180   0    0     0   100 29766 75483 23 39 38 0 0  0
10  0      0 101324  47200 2049592   0    0     0    24 30644 77457 22 36 43 0 0  0
 5  0      0 101240  47200 2050168   0    0     0     0 28757 75945 18 34 48 0 0  0
 5  0      0 100692  47200 2050644   0    0     0    76 31359 76984 19 40 41 0 0  0
 6  0      0 115252  46936 2037672   0    0   300     0 28354 70783 22 39 38 1 0  0
 8  0      0 114616  46940 2038232   0    0     0   192 31902 76950 17 42 41 0 0  0
 6  0      0 113408  46940 2039040   0    0     8     0 28940 75808 20 34 46 0 0  0
13  0      0 112960  46940 2039564   0    0     0    52 24721 69404 23 40 38 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
10  0      0 112040  46952 2040068   0    0    60    52 25125 67803 25 44 31 0 0  0
16  0      0 111092  46952 2040596   0    0     0    32 27090 79306 22 43 35 0 0  0
 4  0      0 110372  46952 2041060   0    0    12    60 27982 79073 17 37 46 0 0  0
 8  0      0 135620  46952 2041804   0    0   260    24 28127 76598 22 38 40 1 0  0
 8  0      0 134864  46952 2042276   0    0     0     0 28248 71362 19 36 45 0 0  0
 5  0      0 134640  46964 2042804   0    0     8   100 31353 77845 20 39 41 0 0  0
 4  0      0 132372  46964 2043272   0    0     0     0 29529 78824 20 39 41 0 0  0
13  0      0 131140  46964 2043796   0    0     0    40 28916 74816 22 38 40 0 0  0
 4  0      0 128424  46964 2044264   0    0     0     0 27993 76401 20 36 44 0 0  0
 3  0      0 127960  46964 2044728   0    0     0    52 29097 71139 21 39 39 0 0  0
 4  0      0 127736  46968 2045216   0    0     0    48 29404 76669 20 40 40 0 0  0
10  0      0 127512  46972 2045724   0    0     0    56 26868 64431 25 43 31 0 0  0
 0  0      0 127512  46988 2046264   0    0     0   200 27280 70502 22 43 35 0 0  0
 4  0      0 126284  46988 2046756   0    0     0    24 28679 78948 19 37 44 0 0  0
 4  0      0 125556  46988 2047240   0    0     0     0 28494 73556 21 41 38 0 0  0
 0  0      0 125304  46988 2047740   0    0     0    28 28445 76194 23 39 38 0 0  0
 6  0      0 124128  46992 2048196   0    0    88 12332 28009 70431 24 43 34 0 0  0
 8  0      0 123624  47000 2048772   0    0     0   112 30431 75539 22 35 42 0 0  0
 7  0      0 122396  47000 2049260   0    0     0     0 25531 72341 22 39 39 0 0  0
 0  0      0 122168  47008 2049788   0    0     0    76 26019 76476 23 35 42 0 0  0
 9  0      0 120964  47008 2050364   0    0    68    24 30226 79723 23 39 39 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 119480  47008 2050804   0    0     0  2680 28000 71623 24 40 36 0 0  0
 7  0      0 118276  47016 2051340   0    0     0    80 24673 64226 29 45 27 0 0  0
 4  0      0 116268  47016 2051836   0    0     0    24 27431 70633 23 41 36 0 0  0
 1  0      0 116044  47016 2052268   0    0     0     0 28002 73378 25 36 39 0 0  0
 4  0      0 112796  47016 2052728   0    0     0    24 28296 66238 26 45 28 0 0  0
 3  0      0 111284  47016 2053192   0    0     0     0 27040 70800 21 40 39 0 0  0
 6  0      0 111060  47032 2053780   0    0     0   188 26986 75454 23 38 40 0 0  0
 6  0      0 110584  47032 2054160   0    0     0     0 24457 66678 25 46 29 0 0  0
11  0      0 110360  47032 2054760   0    0     0    24 25077 64021 27 47 26 0 0  0
 4  0      0 110136  47036 2055132   0    0     0    80 27009 69345 25 42 33 1 0  0
 4  0      0 109888  47036 2055700   0    0     0    24 31510 77066 21 41 37 0 0  0
 4  0      0 109888  47036 2056192   0    0     0    48 29347 77581 16 37 47 0 0  0
 7  0      0 109664  47036 2056708   0    0     0    52 27393 74715 21 40 39 0 0  0
 0  0      0 109440  47036 2057192   0    0     0     0 27192 74625 19 37 43 0 0  0
 2  0      0 108964  47044 2057696   0    0     0    64 26316 73918 18 38 44 0 0  0
 4  0      0 108492  47044 2058200   0    0     0     0 23414 68926 22 39 39 0 0  0
 0  0      0 108492  47044 2058544   0    0     0    40 27783 73047 22 41 37 0 0  0
 5  0      0 107008  47044 2059188   0    0     0     0 26566 76440 17 37 46 0 0  0
 4  0      0 106784  47044 2059720   0    0    96    24 29767 76161 20 37 43 0 0  0
 2  0      0 103508  47048 2060152   0    0     0    76 30048 78873 19 40 41 0 0  0
 0  0      0 102280  47048 2060768   0    0     0    56 26009 72976 20 37 42 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  0      0 101580  47060 2061192   0    0     0   172 29595 78219 20 37 43 0 0  0
 3  0      0 117284  46780 2048204   0    0    52    52 28284 74901 18 36 45 1 0  0
 0  0      0 116708  46780 2049072   0    0   284     0 29713 79620 19 41 40 1 0  0
 8  0      0 115980  46780 2049604   0    0    64    24 25803 72735 20 39 41 0 0  0
 0  0      0 114244  46780 2050148   0    0     0     0 25711 73549 25 43 33 0 0  0
 0  0      0 113520  46792 2050608   0    0     0 12492 27386 75928 21 38 42 0 0  0
 6  0      0 111560  46792 2051212   0    0   220     0 29015 75673 19 35 46 0 0  0
11  0      0 111336  46800 2051816   0    0     0    52 27147 74299 21 41 38 0 0  0
 1  0      0 111336  46800 2052168   0    0     0    24 27233 72941 23 39 38 0 0  0
 6  0      0 111112  46800 2052868   0    0    72    52 30952 79731 25 38 36 1 0  0
 1  0      0 110888  46800 2053260   0    0     0    32 30313 77826 21 36 44 0 0  0
 6  0      0 109172  46808 2054000   0    0    44    84 29042 80750 23 35 42 0 0  0
 4  0      0 108948  46808 2054520   0    0    20     0 27233 75166 21 38 41 0 0  0
 5  0      0 108248  46808 2055028   0    0     0    28 26302 75360 21 41 37 0 0  0
 4  0      0 107996  46808 2055556   0    0    64     0 27345 74695 19 34 47 0 0  0
 2  0      0 107016  46820 2056160   0    0    44   180 28930 77762 21 37 42 0 0  0
 8  0      0 105564  46820 2056672   0    0     0     0 27435 74145 23 40 37 0 0  0
 3  0      0 105340  46820 2057212   0    0     0    24 23346 71527 21 38 40 0 0  0
 2  0      0 104136  46824 2057588   0    0     4     0 27620 75518 23 41 36 0 0  0
10  0      0 102900  46832 2058244   0    0     0   108 27805 75384 24 40 36 0 0  0
 3  0      0 101920  46832 2058592   0    0     0    32 26054 71198 21 41 39 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 115964  46572 2045344   0    0   192    32 26535 73143 22 38 39 1 0  0
 7  0      0 115748  46572 2045936   0    0   128     0 26270 71890 26 43 31 0 0  0
 5  0      0 115048  46580 2046452   0    0     0    64 25285 73120 21 40 39 0 0  0
 7  0      0 110540  46580 2046928   0    0     0     0 24506 73090 21 37 42 0 0  0
 6  0      0 110040  46580 2047460   0    0    76    40 26049 74873 21 39 40 0 0  0
 4  0      0 108808  46580 2047992   0    0     0     0 27079 72163 18 41 41 0 0  0
 5  0      0 108584  46580 2048340   0    0     0    24 25315 65344 27 46 26 0 0  0
12  0      0 107424  46588 2049420   0    0    52    24 23809 65218 25 49 26 0 0  0
 8  0      0 106728  46592 2049876   0    0    28    88 24770 64207 24 45 30 1 0  0
 5  0      0 106280  46600 2050392   0    0     0   128 27052 64851 28 46 26 0 0  0
 2  0      0 104320  46600 2050936   0    0     0    52 26805 67886 22 41 37 0 0  0
10  0      0 103620  46600 2051388   0    0     0     0 30412 72477 24 45 30 0 0  0
 5  0      0 102920  46600 2051896   0    0    12    24 26855 65646 27 43 29 1 0  0
 6  0      0 102444  46600 2052312   0    0     4   208 28009 67376 20 40 41 0 0  0
 8  0      0 101720  46608 2052896   0    0     0 15100 29899 71958 27 44 29 0 0  0
 8  0      0 100992  46608 2053400   0    0     0     0 30991 72789 22 42 36 0 0  0
 5  0      0  99728  46608 2053848   0    0     4    24 23861 57150 30 51 19 0 0  0
 2  0      0 116616  46344 2041228   0    0   724     0 28220 69525 25 45 31 0 0  0
 7  0      0 115448  46344 2041744   0    0     0    56 27307 67987 30 43 27 0 0  0
 8  0      0 114472  46348 2042120   0    0     0    88 29607 70886 26 43 31 0 0  0
10  0      0 111328  46352 2042700   0    0     0    56 24140 58664 33 45 22 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
