procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 270116  45868 2447688   0    0    48   389 6671   44 12 32 56  0  0  0
 0  0      0 269108  45876 2447688   0    0     0   196 1907 1938  2  3 95  0  0  0
 0  0      0 269108  45876 2447688   0    0     0     0 1649 1634  1  1 98  0  0  0
 0  0      0 269108  45876 2447692   0    0     0     0 1692 1565  1  3 97  0  0  0
 0  0      0 268100  45876 2447692   0    0     0     0 1848 1641  1  2 97  0  0  0
 0  0      0 268100  45876 2447708   0    0     0     0 1554 1220  1  2 97  0  0  0
 0  0      0 266336  45876 2447708   0    0     0     0 2059 2243  2  3 95  0  0  0
 0  0      0 266336  45884 2447700   0    0     0    16 1951 1663  1  2 97  0  0  0
 0  0      0 266336  45884 2447708   0    0     0     0 1798 1454  1  3 97  0  0  0
 3  0      0 266336  45884 2447708   0    0     0     0 1816 1426  1  3 96  0  0  0
 0  0      0 266336  45884 2447712   0    0     0     0 2188 1977  3  4 93  0  0  0
 0  0      0 264824  45884 2447712   0    0     0    48 2586 2864  4  6 90  0  0  0
 0  0      0 264824  45884 2447712   0    0     0     0 2286 2268  2  7 91  0  0  0
 0  0      0 264824  45892 2447704   0    0     0    20 1914 1485  1  3 96  0  0  0
 0  0      0 264572  45892 2447716   0    0     0     0 2118 2281  2  4 94  1  0  0
 1  0      0 264572  45892 2447716   0    0     0     0 1987 1745  3  4 94  0  0  0
 0  0      0 264320  45892 2447716   0    0     0     8 2683 3188  2  5 93  0  0  0
 0  0      0 264320  45892 2447716   0    0     0     0 2297 1887  1  4 95  0  0  0
 0  0      0 264320  45892 2447720   0    0     0     0 2434 2226  2  4 95  0  0  0
 0  0      0 264320  45900 2447720   0    0     0    28 2447 2433  1  4 95  0  0  0
 1  0      0 264320  45900 2447724   0    0     0     0 2396 2301  2  5 93  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 264320  45900 2447724   0    0     0   448 2874 3541  4  8 88  0  0  0
 1  0      0 264320  45900 2447724   0    0     0     0 2504 2600  2  5 93  0  0  0
 1  0      0 264320  45900 2447724   0    0     0     0 3008 3383  2  6 92  0  0  0
 1  0      0 263564  45908 2447720   0    0     0    20 2745 2726  4  6 90  0  0  0
 0  0      0 263564  45908 2447728   0    0     0     0 2399 2223  2  5 93  0  0  0
 1  0      0 263564  45908 2447732   0    0     0     0 3241 3645  4  8 88  0  0  0
 0  0      0 263564  45908 2447736   0    0     0     0 2731 3066  3  8 90  0  0  0
 0  0      0 263564  45908 2447736   0    0     0     0 2598 3230  2 10 88  0  0  0
 1  0      0 263564  45908 2447736   0    0     0     0 2197 2432  3  6 91  0  0  0
 0  0      0 263564  45916 2447740   0    0     0    16 3113 3833  3 11 85  0  0  0
 0  0      0 263564  45916 2447744   0    0     0     0 3106 3743  4  8 89  0  0  0
 3  0      0 263564  45916 2447744   0    0     0     0 2487 2747  3  8 89  0  0  0
 0  0      0 263564  45916 2447748   0    0     0     0 2675 2972  2  6 91  0  0  0
 0  0      0 263564  45916 2447748   0    0     0     0 2841 3217  3  5 92  0  0  0
 2  0      0 263564  45924 2447752   0    0     0    12 2920 3828  3  7 91  0  0  0
 0  0      0 263060  45924 2447752   0    0     0     0 3304 4235  3  6 91  0  0  0
 0  0      0 263060  45924 2447756   0    0     0     0 2939 3511  2  5 93  0  0  0
 2  0      0 263060  45924 2447756   0    0     0     0 2781 3117  2  6 93  0  0  0
 0  0      0 263060  45924 2447756   0    0     0     0 2862 3624  2  5 94  0  0  0
 0  0      0 262808  45932 2447760   0    0     0    16 2781 3198  3  5 92  0  0  0
 0  0      0 262808  45932 2447764   0    0     0     0 3644 5152  4  9 86  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 262808  45932 2447764   0    0     0    56 3293 3823  3  7 90  0  0  0
 0  0      0 262808  45932 2447768   0    0     0     0 2864 3182  3  7 91  0  0  0
 0  0      0 262808  45932 2447772   0    0     0     0 2964 3148  3  7 90  0  0  0
 0  0      0 262808  45936 2447772   0    0     0    28 3140 3771  2  7 91  0  0  0
 0  0      0 262052  45936 2447772   0    0     0     0 3128 4055  3  6 91  0  0  0
 0  0      0 262052  45936 2447776   0    0     0     0 2828 3509  2  7 90  0  0  0
 0  0      0 262052  45936 2447776   0    0     0     0 2894 3705  4  7 89  0  0  0
 0  0      0 262052  45936 2447780   0    0     0     0 3233 3808  2  8 90  0  0  0
 0  0      0 262052  45940 2447776   0    0     0    16 3069 3823  3  6 91  0  0  0
 0  0      0 262052  45940 2447784   0    0     0     0 3174 4464  5  7 88  0  0  0
 4  0      0 261044  45940 2447788   0    0     0     0 3430 4054  4  9 87  0  0  0
 0  0      0 261044  45940 2447788   0    0     0     0 3094 3837  3  8 89  0  0  0
 0  0      0 261044  45940 2447792   0    0     0     0 2963 3620  2  6 92  0  0  0
 0  0      0 261044  45940 2447792   0    0     0     0 3150 3881  3  7 90  0  0  0
 0  0      0 261044  45948 2447800   0    0     0    16 3190 4237  5  6 89  0  0  0
 0  0      0 261044  45948 2447804   0    0     0     0 2974 3389  2  7 92  0  0  0
 0  0      0 261044  45948 2447804   0    0     0     0 3159 3831  2  7 91  0  0  0
 0  0      0 261044  45948 2447808   0    0     0     0 3243 4039  2  5 93  0  0  0
 0  0      0 261044  45948 2447812   0    0     0     0 3069 3461  2  5 93  0  0  0
 0  0      0 261044  45956 2447812   0    0     0    16 2900 3362  3  5 92  0  0  0
 0  0      0 261044  45956 2447816   0    0     0     0 2963 3656  2  5 94  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 261044  45956 2447816   0    0     0     0 2827 3390  3  6 92  0  0  0
 0  0      0 261044  45956 2447816   0    0     0     0 3225 4095  4  8 89  0  0  0
 0  0      0 261040  45956 2447824   0    0     0     0 3192 4216  3  8 89  0  0  0
 0  0      0 261040  45964 2447824   0    0     0    16 3172 3962  4  7 89  0  0  0
 0  0      0 261040  45964 2447828   0    0     0     0 3241 3844  3  6 90  0  0  0
 0  0      0 261040  45964 2447828   0    0     0     0 3295 3861  3  8 89  0  0  0
 0  0      0 261040  45964 2447832   0    0     0     0 3113 3404  3  7 90  0  0  0
 0  0      0 261040  45964 2447832   0    0     0     0 2611 2765  3 10 87  0  0  0
 0  0      0 261040  45972 2447832   0    0     0    12 2935 3983  5 12 83  0  0  0
 0  0      0 261040  45972 2447836   0    0     0     0 2970 3559  3  7 90  0  0  0
 0  0      0 261040  45972 2447836   0    0     0    72 3005 3438  3  7 90  0  0  0
 0  0      0 261040  45972 2447836   0    0     0     0 2840 2913  2  6 92  0  0  0
 5  0      0 261040  45972 2447840   0    0     0     0 2711 2811  1  6 93  0  0  0
 0  0      0 261040  45980 2447844   0    0     0    24 3259 3848  4  8 88  0  0  0
 0  0      0 261040  45980 2447844   0    0     0     0 2735 2918  2  6 93  0  0  0
 0  0      0 261040  45980 2447844   0    0     0    32 2884 3317  2  5 93  0  0  0
 0  0      0 261040  45980 2447848   0    0     0     0 2775 3219  2  5 94  0  0  0
 0  0      0 261040  45980 2447848   0    0     0     0 3017 3868  3  7 90  0  0  0
 0  0      0 260032  45980 2447852   0    0     0     0 3361 4434  4  6 89  0  0  0
 0  0      0 260032  45984 2447856   0    0     0    28 3300 4088  3  7 89  1  0  0
 0  0      0 260032  45984 2447856   0    0     0     0 3247 3892  3  8 89  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 258520  45984 2447864   0    0     0     0 3224 4329  5 11 85  0  0  0
 0  0      0 258520  45984 2447864   0    0     0     0 3195 3489  3  8 89  0  0  0
 0  0      0 258268  45984 2447864   0    0     0     0 3487 4043  4  7 89  0  0  0
 0  0      0 258268  45988 2447868   0    0     0    16 3045 3682  2  8 90  0  0  0
 0  0      0 258268  45988 2447872   0    0     0     0 2958 3272  2  7 91  0  0  0
 0  0      0 258268  45988 2447876   0    0     0     0 3436 4108  2  7 91  0  0  0
 1  0      0 258268  45988 2447876   0    0     0     0 2946 3652  3  6 92  0  0  0
 2  0      0 257008  45988 2447880   0    0     0     0 4175 5335  5  9 86  0  0  0
 1  0      0 257008  45996 2447884   0    0     0    12 2936 3525  3  6 91  0  0  0
 0  0      0 257008  45996 2447884   0    0     0     0 2684 2843  3  6 91  0  0  0
