procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 100064  56584 2537872   0    0    31   369 5871   38  8 22 70  0  0  0
 0  0      0  99840  56584 2537880   0    0     0     0 1814 1728  1  1 98  0  0  0
 0  0      0 120756  56564 2516920   0    0    84    44 2012 2155  1  1 97  1  0  0
 0  0      0 116980  56564 2517212   0    0   208     0 1923 1949  1  2 97  1  0  0
 0  0      0 116280  56640 2517144   0    0    44   756 2347 2686  2  2 97  0  0  0
 0  0      0 115552  56640 2517164   0    0     0     0 2449 2394  1  2 97  0  0  0
 0  0      0 115300  56640 2517164   0    0     0     0 2330 2195  2  2 97  0  0  0
 0  0      0 115048  56640 2517164   0    0     0     0 2564 2817  1  3 96  0  0  0
 0  0      0 114292  56640 2517168   0    0     0     0 2591 2992  1  2 97  0  0  0
 0  0      0 114040  56640 2517168   0    0     0     0 3016 3502  1  4 95  0  0  0
 0  0      0 112780  56652 2517168   0    0     0   184 2893 3401  1  3 97  0  0  0
 0  0      0 111772  56652 2517172   0    0     0     0 3421 4594  1  4 95  0  0  0
 0  0      0 111268  56652 2517172   0    0     0     0 3547 5026  2  3 95  0  0  0
 0  0      0 111016  56652 2517176   0    0     0     0 3216 4013  2  4 95  0  0  0
 0  0      0 110764  56652 2517176   0    0     0   248 3066 3293  1  3 96  0  0  0
 0  0      0 107488  56660 2517196   0    0     0    20 3320 4186  2  4 94  0  0  0
 0  0      0 107488  56660 2517196   0    0     0     0 3610 5005  2  4 95  0  0  0
 1  0      0 107488  56660 2517200   0    0     0     0 3985 6055  2  4 94  0  0  0
 0  0      0 107488  56660 2517200   0    0     0     0 3034 3266  1  3 96  0  0  0
 0  0      0 107488  56660 2517204   0    0     0     0 3709 4654  2  5 93  0  0  0
 0  0      0 106984  56660 2517208   0    0     0    16 3755 4797  2  4 94  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 106984  56660 2517212   0    0     0     0 3840 5154  3  4 93  0  0  0
 0  0      0 106984  56660 2517212   0    0     0     0 3870 4794  1  5 94  0  0  0
 0  0      0 104464  56660 2517216   0    0     0     0 3959 5443  2  4 94  0  0  0
 0  0      0 104464  56660 2517216   0    0     0     0 3973 5035  2  5 93  0  0  0
 0  0      0 103456  56664 2517220   0    0     0    64 4179 5597  2  6 93  0  0  0
 0  0      0 103456  56664 2517220   0    0     0     0 4584 6630  2  7 91  0  0  0
 1  0      0 103204  56664 2517228   0    0     0     0 5086 7980  3  7 90  0  0  0
 0  0      0 103204  56664 2517228   0    0     0     0 4500 6471  2  6 93  0  0  0
 1  0      0 103204  56664 2517236   0    0     0     0 4979 7192  2  7 91  0  0  0
 0  0      0 103204  56672 2517240   0    0     0    12 4409 6030  2  5 93  0  0  0
 0  0      0 103204  56672 2517240   0    0     0     0 4612 6420  2  6 93  0  0  0
 0  0      0 103204  56672 2517244   0    0     0     0 4794 7159  2  6 92  0  0  0
 0  0      0 102952  56672 2517252   0    0     0     0 5077 7478  2  6 92  0  0  0
 0  0      0 102700  56672 2517252   0    0     0     0 4513 6259  2  5 93  0  0  0
 0  0      0 100936  56676 2517260   0    0     0    16 5133 7729  3  7 90  0  0  0
 0  0      0 100936  56676 2517260   0    0     0     0 5217 8268  3  6 91  0  0  0
