Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,34122,0,3,4.26067689769485,0.98071600041294,207.32912499988743,10017.543608229294,113.71504360732065,0.0,3,4,4,5,7,9,16,25,61,120,210
GET,GET /?currency=X,27326,0,3,4.261708194938581,1.075584999853163,163.8273170010507,10017.660579667716,91.06668078112784,0.0,3,4,4,5,7,9,16,24,61,130,160
GET,GET /?product_id=X,3471,0,3,4.382606335636519,1.0660289990482852,112.35237199980475,10016.86574474215,11.567461355167048,0.0,3,4,5,5,7,10,18,26,95,110,110
GET,GET /cart,13827,0,4,4.415849945621658,1.6690010015736334,130.19899200116924,12190.131047949664,46.07988710973632,0.0,4,4,4,5,6,8,16,26,51,74,130
GET,GET /product/[id],23883,0,3,3.740328697694008,1.5903419989626855,149.1636880000442,7579.964828539129,79.59253228045364,0.0,3,3,4,4,5,6,13,23,46,110,150
POST,POST /cart (add),16728,0,6,7.143434765896587,3.1331009995483328,216.51030900102342,17352.482962697275,55.74776535558467,0.0,6,7,7,8,9,12,22,35,68,140,220
POST,POST /cart (pre-checkout add),6731,0,6,7.193174580739012,3.3027629997377517,148.99097200031974,17354.277224780864,22.43174369969156,0.0,6,7,7,8,9,12,25,36,77,150,150
POST,POST /cart/checkout,6731,0,5,5.195801189864208,2.7109120001114206,118.3095600008528,6432.079780121824,22.43174369969156,0.0,5,5,6,6,7,8,11,16,27,120,120
POST,POST /cart/empty,6736,0,5,6.097484152898294,2.041809999354882,157.5303969984816,9973.182897862232,22.448406709422425,0.0,5,6,6,7,9,12,23,34,100,160,160
POST,POST /setCurrency,10288,0,5,6.2745805325599235,1.9178219990863,134.55467400126508,10019.0858281493,34.2858088222295,0.0,5,6,6,7,9,12,24,39,82,120,130
,Aggregated,149843,0,4,4.911471471893345,0.98071600041294,216.51030900102342,10814.979798856137,499.36707342042524,0.0,4,5,5,6,7,10,17,27,66,130,220
