procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 101564  51024 2085768   0    0   100   732 12976 141 26 36 38  0  0  0
 0  0      0 115904  50744 2070648   0    0   200   716 3978 5655  3  3 94  1  0  0
 0  0      0 111612  50744 2070956   0    0   244    24 5353 9174  4  5 90  1  0  0
 0  0      0 110616  50748 2071048   0    0    48    72 4443 7674  3  4 93  1  0  0
 0  0      0 109356  50748 2071156   0    0     0    28 6058 12090 4  4 92  0  0  0
 1  0      0 107872  50756 2071192   0    0     0    92 4779 8225  2  4 94  0  0  0
 0  0      0 106136  50756 2071360   0    0    84    24 6656 13340 4  5 90  1  0  0
 1  0      0 102356  50756 2071412   0    0     0     0 7294 14655 4  5 90  0  0  0
 7  0      0 100088  50756 2071544   0    0     0    52 7666 14900 5  6 90  0  0  0
 1  0      0  99584  50756 2071572   0    0     0     0 8144 16367 5  7 87  0  0  0
 2  0      0 106612  50612 2064092   0    0   480    84 9898 20177 6  8 85  2  0  0
 2  0      0 104864  50644 2064264   0    0     0   332 10645 24252 9 10 81 0  0  0
 1  0      0 102848  50644 2064348   0    0     0    24 9956 20626 8 11 81  0  0  0
 2  0      0 101868  50644 2064576   0    0    48     0 10010 21420 6 8 86  1  0  0
 0  0      0 112540  50344 2050344   0    0   572    28 11571 25636 6 12 81 1  0  0
 5  0      0 110032  50344 2050776   0    0   332    40 11013 23597 7 10 82 1  0  0
 0  0      0 107804  50352 2050852   0    0     0    60 9650 22303 5  9 85  0  0  0
 7  0      0 105540  50352 2051016   0    0    16     0 12192 27254 7 9 83  1  0  0
 7  0      0 105540  50352 2051164   0    0     0    32 11815 26312 7 9 84  0  0  0
14  0      0 104308  50352 2051520   0    0   172     0 12201 28579 9 13 77 1  0  0
 1  0      0 103048  50360 2051612   0    0     0    84 13528 30249 9 13 78 0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
12  0      0 101536  50360 2051852   0    0     0     0 12702 28712 8 11 81 0  0  0
14  0      0 112756  50052 2038976   0    0   824  1860 14856 36741 11 14 72 3 0  0
13  0      0 111508  50052 2039164   0    0     0     0 13340 31409 9 16 75 0  0  0
 7  0      0 108232  50052 2039316   0    0     0    24 14357 32980 10 15 75 0 0  0
11  0      0 107000  50060 2039548   0    0     0   112 14247 33611 8 13 79 0  0  0
 0  0      0 105488  50104 2040148   0    0   336   404 14672 36432 13 16 70 1 0  0
 3  0      0 100728  50104 2040340   0    0     0     0 15278 35005 10 16 73 0 0  0
 0  0      0  99720  50104 2040528   0    0    36    52 15706 36818 10 15 74 1 0  0
 9  0      0 112412  49808 2027580   0    0   152     0 15522 39250 10 17 72 1 0  0
 7  0      0 110420  49808 2028124   0    0     0    56 16255 39352 8 19 73 0  0  0
 0  0      0 108672  49808 2028516   0    0    64    24 17701 41184 10 16 74 0 0  0
 2  0      0 105676  49812 2029156   0    0   520    48 17672 41418 10 16 73 1 0  0
 3  0      0 102652  49812 2029508   0    0    52     0 18340 43507 12 17 71 0 0  0
 0  0      0 101392  49812 2029748   0    0    76    28 17372 40971 12 19 68 1 0  0
 0  0      0 101140  49812 2030180   0    0    96    16 16893 41897 11 21 67 1 0  0
 0  0      0 100888  49812 2030332   0    0     0    52 18064 42707 12 19 69 0 0  0
 6  0      0  99880  49812 2030580   0    0    48    28 17532 41359 10 18 71 1 0  0
 0  0      0  99880  49812 2030792   0    0     0    88 17442 41275 8 14 78 0  0  0
 8  0      0  99656  49812 2030984   0    0     0     0 19368 46708 9 16 75 0  0  0
 0  0      0  99656  49812 2031328   0    0    60    56 19127 46185 8 15 77 0  0  0
 0  0      0 113544  49532 2018588   0    0   468   352 19578 46721 14 19 67 1 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0      0 112048  49556 2019268   0    0   504    24 21669 50489 11 18 69 2 0  0
 1  0      0 111544  49556 2019572   0    0   128     0 16455 42920 12 18 69 1 0  0
 3  0      0 110560  49564 2019876   0    0    44   332 16604 39442 9 18 72 1  0  0
 0  0      0 110084  49564 2019992   0    0    64    16 18938 44951 10 19 71 1 0  0
 2  0      0 110084  49564 2020416   0    0   148    52 19178 44994 11 20 68 1 0  0
 0  0      0 109328  49564 2020568   0    0     0     0 18416 43937 11 17 72 0 0  0
 0  0      0 109328  49568 2020940   0    0    72    84 19037 44642 11 17 71 1 0  0
 8  0      0 108852  49568 2021180   0    0    28     0 20023 47175 13 20 68 0 0  0
 0  0      0 108600  49568 2021424   0    0     0    56 17891 43727 8 14 79 0  0  0
 3  0      0 108348  49568 2021584   0    0     0     0 18158 44327 8 16 77 0  0  0
37  0      0 106584  49580 2021688   0    0    12    24 17922 45967 10 19 71 0 0  0
 0  0      0 106332  49596 2022108   0    0   132  6248 17127 40726 10 20 69 1 0  0
 0  0      0 104096  49596 2022340   0    0     0    24 18454 42571 10 19 71 0 0  0
 0  0      0 103844  49596 2022624   0    0     0    16 19556 46621 10 19 71 0 0  0
 0  0      0 103844  49636 2022752   0    0     0   404 18422 46380 15 20 66 0 0  0
 4  0      0 101604  49636 2023060   0    0     0     0 17616 42366 10 20 70 0 0  0
 0  0      0 100596  49636 2023136   0    0     0   144 18545 44071 9 16 75 0  0  0
 3  0      0 100596  49636 2023488   0    0     0    24 19432 45793 11 16 73 0 0  0
