procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  0      0 1477492  7408 1314736   0    0  2220  1515 2405   12 10 17 72  1  0  0
 0  0      0 1472984  7408 1314836   0    0     0     0 1978 1756  6 10 84  0  0  0
 0  0      0 1471220  7408 1314848   0    0     0     0 2811 3590  9 11 79  0  0  0
 0  0      0 1470464  7416 1314968   0    0   128    16 2107 2158  2  6 92  1  0  0
 5  0      0 1470212  7416 1314980   0    0     0     0 2019 1717  3  7 90  0  0  0
 0  0      0 1469960  7416 1314980   0    0     0     0 2162 2016  3  7 90  0  0  0
 1  0      0 1468952  7416 1314980   0    0     0     0 2492 2471  3  8 89  1  0  0
 0  0      0 1468952  7416 1314980   0    0     0     0 2395 2372  3 11 86  0  0  0
 0  0      0 1468952  7424 1314980   0    0     0   224 2362 2448  5 10 85  0  0  0
 1  0      0 1468952  7424 1315072   0    0    88     0 2322 2121  3  9 88  0  0  0
 0  0      0 1468700  7424 1315072   0    0     0     0 2698 3102  4  9 87  0  0  0
 0  0      0 1467692  7424 1315072   0    0     0     0 3027 3632  6 15 80  0  0  0
 2  0      0 1467692  7424 1315072   0    0     0     0 3422 4437  8 18 74  0  0  0
 0  0      0 1467692  7424 1315072   0    0    96     0 3057 3564  4 11 85  0  0  0
 0  0      0 1467692  7432 1315168   0    0     0    12 3094 3407  7 16 78  0  0  0
 0  0      0 1467692  7432 1315172   0    0     0     0 3407 3498  4 13 83  0  0  0
 0  0      0 1467188  7432 1315172   0    0     0     0 3481 4138  6 15 79  0  0  0
 1  0      0 1467188  7432 1315172   0    0     0     0 2972 3039  4 13 83  0  0  0
 1  0      0 1466936  7432 1315172   0    0     0     0 3307 3923  5 16 79  0  0  0
 5  0      0 1466936  7440 1315168   0    0     0    16 3696 4029  6 15 78  0  0  0
 0  0      0 1466936  7440 1315180   0    0     0     0 4034 4817  7 19 74  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1465928  7440 1315180   0    0     0     0 2847 2940  5 15 80  0  0  0
 1  0      0 1465424  7440 1315188   0    0     0     0 3995 5124 11 22 67  0  0  0
 0  0      0 1464164  7440 1315192   0    0     0     0 4278 5286  9 22 69  0  0  0
 0  0      0 1463912  7440 1315196   0    0     0     0 3951 4401  7 21 72  0  0  0
 0  0      0 1463912  7448 1315188   0    0     0    12 3622 3921  6 16 79  0  0  0
 8  0      0 1463160  7448 1315196   0    0     0     0 3777 4011  7 22 72  0  0  0
 0  0      0 1463160  7448 1315196   0    0     0     0 3335 3515  5 17 78  0  0  0
 0  0      0 1463160  7448 1315196   0    0     0     0 4501 5005  8 21 71  0  0  0
 0  0      0 1463160  7448 1315200   0    0    24     0 4249 4688  6 20 73  0  0  0
 0  0      0 1463160  7456 1315228   0    0     0    16 4416 5006  7 19 74  0  0  0
 1  0      0 1462404  7456 1315228   0    0     0     0 4165 4604  6 19 76  0  0  0
 0  0      0 1462404  7456 1315232   0    0     0     0 5190 5982 11 28 61  0  0  0
 1  0      0 1462404  7456 1315232   0    0     0     0 5226 6494 10 22 68  0  0  0
 1  0      0 1462404  7456 1315232   0    0     0     0 5334 6311  6 23 70  0  0  0
 3  0      0 1462404  7464 1315228   0    0     0    12 4823 5723  8 21 71  0  0  0
 1  0      0 1461396  7464 1315236   0    0     0     0 5136 5937  8 24 68  0  0  0
 3  0      0 1461396  7464 1315240   0    0     0     0 4840 5126  9 25 66  0  0  0
 0  0      0 1461144  7464 1315244   0    0     0     0 5246 5847  8 25 67  0  0  0
 2  0      0 1461144  7464 1315248   0    0     0    56 4789 5431  7 20 73  1  0  0
 2  0      0 1460640  7464 1315248   0    0     0     0 5021 5345  9 29 62  0  0  0
 0  0      0 1460136  7472 1315252   0    0     0    32 5104 5852  9 29 62  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1460136  7472 1315256   0    0     0     0 5969 7582 14 30 56  0  0  0
 0  0      0 1459888  7472 1315256   0    0     0     0 5387 6381 14 30 56  0  0  0
 0  0      0 1459888  7472 1315260   0    0     0     0 4750 5267 12 27 61  0  0  0
 1  0      0 1459888  7472 1315260   0    0     0     0 5276 5913  7 23 70  0  0  0
 1  0      0 1459888  7480 1315260   0    0     0    12 5725 7301  8 22 70  0  0  0
 0  0      0 1457368  7480 1315264   0    0     0     0 5941 7385  9 22 69  0  0  0
 1  0      0 1457368  7480 1315268   0    0     0     0 5598 6621  7 20 73  0  0  0
 0  0      0 1457368  7480 1315268   0    0     0     0 4858 5579  7 24 69  0  0  0
 3  0      0 1457116  7480 1315268   0    0     0     0 4713 5362  9 25 67  0  0  0
 3  0      0 1457116  7488 1315260   0    0     0    16 4870 5206 10 29 61  0  0  0
 2  0      0 1457116  7488 1315272   0    0     0     0 5528 6337 11 28 61  0  0  0
 5  0      0 1457116  7488 1315276   0    0     0     0 5952 7608 12 27 61  0  0  0
 0  0      0 1457116  7488 1315276   0    0     0     0 5694 6540  9 26 64  0  0  0
 0  0      0 1457116  7488 1315276   0    0     0     0 5798 6705 10 26 64  0  0  0
 1  0      0 1457116  7496 1315284   0    0     0    12 5737 6684  9 24 67  0  0  0
 0  0      0 1457116  7496 1315288   0    0     0     0 5384 5924  7 23 70  0  0  0
 1  0      0 1457116  7496 1314736   0    0     0     0 5546 6452  9 25 66  0  0  0
 1  0      0 1457116  7496 1314740   0    0     0     0 5448 6213  7 24 68  0  0  0
 1  0      0 1457116  7496 1314740   0    0     0     0 5473 5789  8 29 63  0  0  0
 0  0      0 1455604  7504 1314732   0    0     0    16 5500 6621  7 24 70  0  0  0
 3  0      0 1455604  7504 1314744   0    0     0     0 6282 7559 14 33 53  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1455604  7504 1314748   0    0     0     0 5587 6691 13 27 60  0  0  0
 0  0      0 1455604  7504 1314748   0    0     0     0 5460 5966  9 28 63  0  0  0
 1  0      0 1455604  7504 1314752   0    0     0     0 6210 6994 10 31 59  0  0  0
 1  0      0 1455604  7512 1314744   0    0     0    12 5303 6046 10 27 63  0  0  0
 0  0      0 1455608  7512 1314760   0    0     0     0 6215 7234  8 29 63  0  0  0
 0  0      0 1455608  7512 1314760   0    0     0     0 5583 6529 10 26 65  0  0  0
 2  0      0 1455608  7512 1314760   0    0     0     0 5561 6479  9 25 66  0  0  0
 1  0      0 1455608  7512 1314764   0    0     0    72 5850 6452 10 28 63  0  0  0
 0  0      0 1455608  7520 1314764   0    0     0    24 6382 6916 10 28 62  0  0  0
 2  0      0 1455608  7520 1314768   0    0     0     0 5835 6790 13 31 56  0  0  0
 4  0      0 1455356  7520 1314772   0    0     0     0 5467 6970 13 25 62  0  0  0
 3  0      0 1455356  7520 1314772   0    0     0     0 5891 6768 12 29 59  0  0  0
 7  0      0 1455356  7520 1314776   0    0     0    20 5856 6141  8 29 64  0  0  0
 0  0      0 1454852  7520 1314776   0    0     0     0 5568 6449  8 28 64  0  0  0
 0  0      0 1454852  7528 1314780   0    0     0    12 5706 6565  8 28 64  0  0  0
 2  0      0 1454852  7528 1314780   0    0     0     0 4959 5736 10 27 64  0  0  0
 2  0      0 1454852  7528 1314784   0    0     0     0 5716 6707  9 26 65  0  0  0
 7  0      0 1454852  7528 1314784   0    0     0     4 5617 6168  8 29 63  0  0  0
 7  0      0 1454604  7528 1314784   0    0     0     0 5295 6012 10 28 62  0  0  0
 0  0      0 1454352  7536 1314788   0    0     0    16 6594 8172 13 32 55  0  0  0
 0  0      0 1454352  7536 1314792   0    0     0     0 5830 6997 11 25 64  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 1454100  7536 1314792   0    0     0     0 5566 6248 10 31 59  0  0  0
 7  0      0 1454100  7536 1314796   0    0     0     0 6160 6982 12 31 58  0  0  0
 1  0      0 1454100  7536 1314800   0    0     0     0 6198 7435 10 29 61  0  0  0
 2  0      0 1454100  7544 1314792   0    0     0    12 5192 5607  8 27 65  0  0  0
 5  0      0 1454100  7544 1314800   0    0     0     0 5967 6726 11 32 57  0  0  0
 0  0      0 1454100  7544 1314804   0    0     0     0 6018 7720  6 22 72  0  0  0
 0  0      0 1454100  7544 1314808   0    0     0     0 7600 10627 2 11 87  0  0  0
 0  0      0 1454100  7544 1314808   0    0     0     0 7202 9145  2 10 88  0  0  0
 0  0      0 1454100  7544 1314816   0    0     0     0 7083 9037  2  9 89  0  0  0
 0  0      0 1454100  7552 1314816   0    0     0    16 7540 9941  3 10 87  0  0  0
 0  0      0 1454100  7552 1314816   0    0     0     0 7160 9543  2  9 89  0  0  0
 0  0      0 1454100  7552 1314824   0    0     0     0 7306 9982  3  9 88  0  0  0
 0  0      0 1454100  7552 1314824   0    0     0     0 7078 9268  2  9 89  0  0  0
 0  0      0 1454100  7552 1314828   0    0     0     0 7934 10740 2 11 88  0  0  0
 0  0      0 1454100  7560 1314832   0    0     0    16 7674 10083 2 10 88  0  0  0
 0  0      0 1454100  7560 1314832   0    0     0     0 7203 9567  2 10 88  0  0  0
 1  0      0 1454100  7560 1314832   0    0     0     0 7324 9936  3  9 88  0  0  0
 3  0      0 1454100  7560 1314836   0    0     0    76 7535 10558 3 10 87  0  0  0
 1  0      0 1454100  7560 1314844   0    0     0     0 7589 10236 3 10 87  0  0  0
 0  0      0 1454100  7568 1314836   0    0     0    20 7301 9493  3 10 87  0  0  0
 0  0      0 1454100  7568 1314844   0    0     0     0 6966 8732  2  7 91  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1454100  7568 1314844   0    0     0     0 7508 9532  2 10 88  0  0  0
 2  0      0 1454100  7568 1314844   0    0     0     0 7635 9823  2 11 87  0  0  0
 0  0      0 1454100  7568 1314848   0    0     0     0 7918 10487 3 12 85  0  0  0
 1  0      0 1454100  7576 1314860   0    0     0    16 7694 9950  2 11 87  0  0  0
 0  0      0 1454100  7576 1314864   0    0     0     0 7404 9764  2  8 90  0  0  0
 2  0      0 1454100  7576 1314864   0    0     0     0 7358 9937  2  9 89  0  0  0
 0  0      0 1454100  7576 1314868   0    0     0    12 6084 8037  1  8 91  0  0  0
 1  0      0 1454100  7576 1314872   0    0     0     0 8260 11231 3 13 84  0  0  0
 2  0      0 1454100  7584 1314864   0    0     0    12 8241 10764 3 12 85  0  0  0
 0  0      0 1454100  7584 1314876   0    0     0     0 7330 9388  3 11 86  0  0  0
