procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
12  0      0 435440  28828 2149572   0    0    73   383 6005   37 10 27 63  0  0  0
 2  0      0 432220  28828 2149664   0    0     0     0 2565 2743  6 15 79  0  0  0
 8  0      0 431716  28828 2149664   0    0     0     0 2284 2006  2  7 91  0  0  0
 0  0      0 431212  28828 2149664   0    0     0   100 2452 2361  4  5 91  0  0  0
 9  0      0 429196  28828 2149664   0    0     0     0 3306 4208  6 11 83  0  0  0
 1  0      0 424940  28828 2149680   0    0     0     0 4177 6219  8 16 75  0  0  0
 2  0      0 424212  28836 2149680   0    0     0    16 3641 4742  6 15 79  0  0  0
 3  0      0 421188  28836 2149684   0    0     0     0 3633 5146 10 12 78  0  0  0
 7  0      0 421188  28836 2149684   0    0     0   852 4251 6140  9 17 73  0  0  0
 1  0      0 420192  28836 2149684   0    0     0     0 4443 7134  9 18 72  1  0  0
 4  0      0 419940  28836 2149688   0    0     0     0 3887 5198  5 15 81  0  0  0
10  0      0 418936  28836 2149688   0    0     0     0 4273 5540  6 15 78  0  0  0
 0  0      0 416668  28844 2149688   0    0     0    48 5130 7002  8 19 73  0  0  0
 6  0      0 414904  28844 2149692   0    0     0     0 5112 7415  7 20 73  0  0  0
 9  0      0 414400  28844 2149692   0    0     0     0 4864 6526  7 22 71  0  0  0
 0  0      0 412888  28844 2149696   0    0     0     0 6128 9547 14 29 57  0  0  0
 0  0      0 412636  28844 2149696   0    0     0     0 5400 6965  9 24 67  0  0  0
12  0      0 412132  28852 2149696   0    0     0    12 5456 7953 11 26 63  0  0  0
 3  0      0 411628  28852 2149704   0    0     0     0 4655 7308 14 32 53  0  0  0
 0  0      0 409616  28852 2149704   0    0     0     0 6119 9096 13 33 54  0  0  0
 9  0      0 407600  28852 2149708   0    0     0     0 5900 8476 11 29 59  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 407348  28852 2149712   0    0     0     0 5984 8714 11 29 60  0  0  0
 2  0      0 406368  28860 2149716   0    0     0    16 6213 9202 10 26 64  0  0  0
 1  0      0 405108  28860 2149720   0    0     0     0 6519 8644 12 34 55  0  0  0
 7  0      0 403596  28860 2149728   0    0     0     0 6792 9214 12 34 55  0  0  0
 1  0      0 400828  28860 2149728   0    0     0     0 6669 10367 16 31 53 0  0  0
 6  0      0 400320  28860 2149732   0    0     0     0 6643 8945 11 33 55  0  0  0
11  0      0 399816  28868 2149736   0    0     0    12 7370 10873 12 39 50 0  0  0
11  0      0 399060  28868 2149736   0    0     0     0 7716 11817 17 40 44 0  0  0
 0  0      0 398308  28868 2149744   0    0     0     0 7037 10610 17 38 45 0  0  0
 6  0      0 396544  28868 2149744   0    0     0     0 6615 8484 14 39 47  0  0  0
 0  0      0 395792  28868 2149744   0    0     0     0 7911 11688 17 46 37 0  0  0
 4  0      0 395540  28876 2149744   0    0     0    16 9299 13947 14 47 39 0  0  0
 5  0      0 395288  28876 2149756   0    0     0     0 7472 10814 15 36 49 0  0  0
12  0      0 394536  28876 2149756   0    0     0     0 8676 12288 20 50 30 0  0  0
15  0      0 393276  28876 2149768   0    0     0     0 9078 14232 22 49 29 0  0  0
 9  0      0 393276  28876 2149768   0    0     0     0 8844 12646 16 43 41 0  0  0
13  0      0 393276  28884 2149776   0    0     0    12 9160 12920 17 46 37 0  0  0
20  0      0 393276  28884 2149776   0    0     0     0 9801 16035 23 45 33 0  0  0
 1  0      0 393024  28884 2149788   0    0     0    96 9525 14147 19 52 30 0  0  0
18  0      0 391260  28884 2149792   0    0     0     0 7587 10356 16 42 42 0  0  0
 0  0      0 391012  28884 2149796   0    0     0     0 9236 13279 17 49 33 0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 390508  28892 2149792   0    0     0    44 8860 12424 15 46 40 0  0  0
 9  0      0 390004  28892 2149808   0    0     0     0 8881 12317 16 47 37 0  0  0
 0  0      0 389500  28892 2149808   0    0     0    64 9695 14424 19 49 32 0  0  0
24  0      0 387992  28892 2149816   0    0     0     0 10249 16238 25 51 24 0 0  0
 9  0      0 387992  28892 2149816   0    0     0     0 9563 14873 19 51 31 0  0  0
 4  0      0 387992  28900 2149828   0    0     0    28 9463 13341 19 47 34 0  0  0
 2  0      0 387992  28900 2149828   0    0     0     0 8240 11785 19 40 42 0  0  0
 2  0      0 387492  28900 2149836   0    0     0     0 8539 11932 16 41 43 0  0  0
 0  0      0 385980  28900 2149836   0    0     0     0 8746 12218 14 45 41 0  0  0
 4  0      0 385480  28900 2149840   0    0     0     0 8838 12477 17 45 38 0  0  0
 8  0      0 382960  28908 2149836   0    0     0    16 9323 13515 16 47 36 0  0  0
10  0      0 382960  28908 2149848   0    0     0     0 9072 13310 17 45 38 0  0  0
 0  0      0 382960  28908 2149852   0    0     0     0 8345 12604 13 41 46 0  0  0
 3  0      0 382712  28908 2149856   0    0     0     0 10131 14317 17 57 26 0 0  0
 8  0      0 382712  28908 2149864   0    0     0     0 10075 15508 25 53 21 0 0  0
 2  0      0 382712  28916 2149860   0    0     0    12 9612 14480 16 47 37 0  0  0
17  0      0 382712  28916 2149872   0    0     0     0 9495 14020 20 52 28 0  0  0
 3  0      0 382464  28916 2149880   0    0     4     0 10259 15607 22 56 22 0 0  0
11  0      0 382240  28916 2149888   0    0     0     0 9009 12335 16 44 40 0  0  0
22  0      0 381992  28916 2149892   0    0     0     0 9701 13757 18 51 31 0  0  0
 3  0      0 381992  28924 2149900   0    0     0    16 9301 13999 16 47 37 0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
