Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,31410,0,950,933.5313758386478,4.638506999981473,3635.7135790003667,10016.32282712512,104.57049539603668,0.0,950,1200,1400,1500,1800,2100,2400,2600,3200,3500,3600
GET,GET /?currency=X,25238,0,960,936.1406702627803,4.722384000160673,3646.369952999521,10016.435295982248,84.0226094493847,0.0,960,1200,1400,1500,1800,2100,2400,2600,3200,3500,3600
GET,GET /?product_id=X,3137,0,960,930.82416676731,5.544026999814378,3534.28055600034,10016.932738284986,10.443732698419836,0.0,960,1200,1400,1500,1800,2100,2400,2600,3200,3500,3500
GET,GET /cart,12802,0,380,420.98684181510333,6.656744000792969,1987.3032479999893,12233.755819403219,42.62055020885264,0.0,380,480,560,610,740,870,1000,1200,1600,1900,2000
GET,GET /product/[id],22045,0,330,350.3415684788812,6.626713000514428,1613.196025000434,7562.0845089589475,73.39244097439122,0.0,330,400,450,490,600,690,810,910,1200,1400,1600
POST,POST /cart (add),15760,0,630,662.6505798294376,12.504349999289843,2376.7136939995908,17349.143274111677,52.46835426429602,0.0,630,760,850,910,1100,1300,1400,1600,2100,2300,2400
POST,POST /cart (pre-checkout add),6323,0,630,662.9661774739818,14.256382999519701,2389.5046629995704,17327.939269334176,21.050596701341608,0.0,630,770,850,910,1100,1200,1400,1600,2100,2400,2400
POST,POST /cart/checkout,6311,0,130,152.93032868372921,10.037434999503603,692.0632609999302,6431.958168277611,21.01064617779011,0.0,130,170,190,210,260,320,390,420,560,690,690
POST,POST /cart/empty,6321,0,1000,1037.8679394966018,9.310223999818845,3875.9748050006237,9972.609555450086,21.043938280749693,0.0,1000,1300,1500,1600,1900,2200,2500,2700,3300,3900,3900
POST,POST /setCurrency,9365,0,1100,1099.2926944687708,8.325703000082285,3731.3846289998764,10018.1463961559,31.178054421645445,0.0,1100,1400,1500,1600,1900,2200,2600,2800,3400,3700,3700
,Aggregated,138712,0,550,731.2776003534502,4.638506999981473,3875.9748050006237,10832.438858930735,461.80141857290795,0.0,550,890,1100,1200,1600,1900,2200,2500,3100,3600,3900
