procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 155228  37552 2140628   0    0   214   678 9437   83 30 39 31  0  0  0
 0  0      0 150216  37560 2140620   0    0     0    40 3983 6548 14 16 70  0  0  0
 0  0      0 147948  37560 2140656   0    0     0     0 4359 7586 12 13 76  0  0  0
 2  0      0 147204  37596 2140656   0    0     0   224 4884 8623 14 13 73  1  0  0
 2  0      0 145200  37632 2140772   0    0     0   300 6239 11245 22 23 54 0  0  0
 1  0      0 142960  37644 2140824   0    0     0   116 6012 11261 18 20 62 0  0  0
 9  0      0 141712  37644 2140952   0    0     0   244 6225 12150 18 22 60 0  0  0
 0  0      0 140984  37656 2140980   0    0     0    92 5550 9851 16 20 64  0  0  0
 1  0      0 139220  37656 2141096   0    0     0    16 5862 10465 22 22 56 0  0  0
 5  0      0 137456  37656 2141156   0    0     0    28 6787 13285 19 22 58 0  0  0
10  0      0 134936  37656 2141280   0    0     0     0 7447 14396 21 25 54 0  0  0
 2  0      0 134432  37656 2141328   0    0     0    20 8031 15309 21 29 50 0  0  0
 1  0      0 133704  37664 2141484   0    0     0    64 7887 14613 28 35 37 0  0  0
 7  0      0 128944  37676 2141548   0    0     0    92 8540 16305 25 33 43 0  0  0
 8  0      0 128188  37688 2141696   0    0     0    88 8948 16999 26 31 43 0  0  0
13  0      0 127432  37688 2141800   0    0     0     0 8752 15878 22 33 44 0  0  0
 0  0      0 126956  37688 2142024   0    0     0    60 8536 15715 29 36 35 0  0  0
 3  0      0 126480  37700 2142072   0    0     0    72 8157 14682 23 34 43 0  0  0
14  0      0 125248  37712 2142284   0    0     0   124 7970 14259 39 41 20 0  0  0
 6  0      0 123272  37760 2142408   0    0     0   392 8796 16931 40 39 20 1  0  0
 2  0      0 121508  37772 2142644   0    0     0   116 8323 15842 32 41 27 0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 119016  37772 2142772   0    0     0     0 9121 17216 29 38 33 0  0  0
 4  0      0 118764  37772 2143020   0    0     0  1832 9350 17194 32 46 22 0  0  0
 7  0      0 118260  37784 2143228   0    0     0   120 9177 16651 29 39 32 0  0  0
 4  0      0 117532  37784 2143368   0    0     0    24 9784 17016 30 40 30 0  0  0
 5  0      0 115796  37784 2143496   0    0     0     0 9373 16085 33 43 24 0  0  0
10  0      0 113988  37784 2143808   0    0    84    52 9218 16556 36 38 27 0  0  0
12  0      0 112028  37784 2144072   0    0    16     0 8868 16986 33 41 26 0  0  0
 9  0      0 109848  37796 2144292   0    0     4    84 9752 16847 32 44 24 0  0  0
 5  0      0 107412  37796 2144532   0    0     0     0 8510 15022 35 43 22 0  0  0
11  0      0 105704  37796 2144700   0    0     0    28 8851 14618 32 45 23 0  0  0
 6  0      0 104976  37796 2144880   0    0     0     0 12842 22851 39 48 14 0 0  0
 9  0      0 104248  37796 2145164   0    0     0    24 12326 21596 42 46 12 0 0  0
12  0      0 103064  37816 2145388   0    0     0   176 12721 22795 40 48 12 1 0  0
14  0      0 101152  37876 2145660   0    0     0   412 11386 20330 43 50 7 0  0  0
